Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
92	179.052	0.832891	0.31224	1	13.9919	0	0.247281	0
93	29.4286	0.151726	0.221826	0	9.82522	2	0.18776	2723.04
94	223.677	0.692807	0.534567	1	24.1803	0	0.157435	0
95	131.919	0.0413087	0.37111	1	9.20385	2	0.212386	3989.02
96	161.629	0.502832	0.207298	0	11.3487	1	0.141916	5385.74
97	137.491	0.599629	0.346338	1	14.8035	2	0.10569	0
98	195.853	0.150207	0.473282	0	5.76267	0	0.0542711	14107.8
99	1.77315	0.700893	0.582856	0	22.9273	1	0.158556	0
100	152.119	0.671656	0.506633	1	15.6965	1	0.164195	0
101	143.54	0.774733	0.265076	1	9.09505	0	0.200398	48.6117
102	61.7777	0.465343	0.402933	0	16.1358	2	0.100577	0
103	33.885	0.332145	0.468242	1	14.6355	0	0.193863	0
104	114.073	0.285481	0.29298	0	23.9986	1	0.232879	710.822
105	58.5915	0.208408	0.407894	0	24.871	2	0.195333	0
106	182.541	0.431572	0.592169	1	24.7865	1	0.116632	0
107	82.9375	0.805471	0.224101	1	20.5725	0	0.110381	302.779
108	241.869	0.818046	0.512581	0	12.5869	2	0.229066	4423.73
109	52.1784	0.878706	0.288855	1	18.781	1	0.218408	11168.7
110	26.7971	0.137121	0.472931	0	13.6949	0	0.243125	0
111	155.527	0.913682	0.223813	1	18.7138	2	0.179977	2711.82
112	228.135	0.173563	0.43758	0	24.6094	1	0.214848	0
113	239.341	0.27778	0.502254	1	10.7605	0	0.163261	0
114	142.307	0.0271092	0.325205	0	22.6361	2	0.10755	0
115	46.1782	0.608184	0.440872	1	15.6556	2	0.189617	0
116	164.006	0.137411	0.547076	0	15.3972	1	0.127274	0
117	40.5504	0.263015	0.309374	0	14.9068	0	0.162214	37.2055
118	4.2844	0.319737	0.282703	1	13.1064	2	0.0536629	2578.56
119	65.1217	0.334677	0.338839	1	20.3697	0	0.157468	0
120	191.117	0.350883	0.225428	0	14.6904	1	0.101216	2584.03
121	206.658	0.0828974	0.263671	1	18.9125	0	0.0624493	4.71845
122	236.715	0.135738	0.360004	0	22.8426	2	0.0645683	0
123	83.2478	0.363222	0.256692	1	22.5298	1	0.0987768	153.937
124	185.15	0.644504	0.584977	0	17.9467	0	0.21743	0
125	138.106	0.182683	0.303922	0	18.8521	2	0.0795625	0
126	163.137	0.167466	0.515866	1	22.3403	1	0.109598	0
127	132.767	0.973488	0.407661	0	7.95033	2	0.200862	134350
128	174.661	0.847034	0.4767	1	8.82791	1	0.10254	4950.61
129	218.83	0.217027	0.588643	1	15.0362	0	0.0614191	0
130	129.197	0.5431	0.559282	0	20.8811	1	0.110454	0
131	202.61	0.853508	0.579812	1	19.0487	0	0.103851	0
132	224.359	0.245447	0.463251	0	11.4576	2	0.244001	4535.33
133	43.9285	0.65066	0.487819	0	21.346	0	0.0937793	0
134	86.0261	0.228921	0.296324	1	6.25265	2	0.0915329	4991.01
135	124.662	0.876728	0.390164	1	15.071	1	0.123844	0
136	228.201	0.702272	0.457157	0	7.72277	0	0.104933	1683.83
137	153.602	0.824987	0.350935	0	15.5954	2	0.217459	0
138	241.517	0.714403	0.527273	1	12.5128	1	0.225316	75130.6
139	99.2131	0.811164	0.318752	1	21.948	2	0.226499	0
140	53.0694	0.346527	0.532197	0	21.8888	0	0.228734	0
141	206.566	0.481453	0.533106	1	19.9345	1	0.0804791	0
142	90.9915	0.2659	0.58637	0	5.62618	2	0.150386	8166.15
143	69.8517	0.180555	0.250309	1	22.8561	0	0.157301	201.219
144	47.2511	0.0502413	0.316614	0	9.66117	1	0.107003	3210.15
145	46.0753	0.0174188	0.213323	1	17.057	0	0.0752992	44337.1
146	46.0458	0.275431	0.462996	0	9.19575	1	0.103385	4143.52
147	34.5047	0.297283	0.361339	1	11.8828	2	0.227137	3427.7
148	22.2779	0.238576	0.323978	0	23.5298	2	0.180901	23.5679
149	42.8603	0.183985	0.456282	0	10.0318	1	0.245266	120346
150	122.599	0.970716	0.425625	1	24.288	0	0.11497	0
151	208.114	0.305331	0.244021	0	14.8712	0	0.135722	51.9902
152	206.047	0.44188	0.405009	1	20.809	1	0.168456	0
153	125.595	0.802884	0.487285	0	17.4276	2	0.149227	0
154	247.662	0.924779	0.389427	1	23.9777	2	0.118488	0
155	133.086	0.295114	0.323909	1	9.49187	1	0.105596	3540.15
156	236.787	0.71014	0.313604	0	15.0767	0	0.166494	0
157	114.755	0.198742	0.359228	1	24.4966	0	0.0517865	0
158	219.363	0.322026	0.402584	0	12.788	2	0.0742651	0
159	168.987	0.310774	0.421171	0	16.6953	1	0.152491	0
160	32.8717	0.573034	0.236695	1	10.93	0	0.223951	326.296
161	112.579	0.937287	0.501219	1	16.7209	2	0.142124	0
162	6.63179	0.164492	0.289122	0	16.5911	1	0.0763791	149.154
163	159.757	0.631984	0.220733	0	22.6153	2	0.191184	204.968
164	238.164	0.135593	0.542676	1	12.2511	0	0.220437	0
