Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
2604	194.956	0.963417	0.227512	1	11.5072	2	0.140201	117342
2605	98.3143	0.840618	0.372668	0	10.3365	1	0.096222	3570.9
2606	201.693	0.223206	0.24298	1	13.0032	0	0.10709	61.572
2607	145.9	0.589768	0.588593	1	11.3689	2	0.175206	4478.71
2608	68.7566	0.19099	0.280831	0	15.586	2	0.125798	85.0997
2609	179.78	0.192819	0.569067	0	20.0244	1	0.134705	0
2610	48.3273	0.776853	0.397125	1	24.7009	0	0.149412	0
2611	195.986	0.563903	0.460926	1	21.5271	0	0.100397	0
2612	205.237	0.835594	0.382211	0	17.7683	2	0.240688	0
2613	93.5903	0.860499	0.485105	1	6.04584	1	0.243181	146296
2614	19.9684	0.376685	0.440364	0	9.21475	1	0.228348	127934
2615	60.4909	0.484611	0.251082	1	14.3349	2	0.137064	2716.31
2616	119.145	0.353456	0.509221	0	12.9085	0	0.140166	0
2617	104.026	0.85746	0.339904	0	24.1115	2	0.158063	0
2618	153.902	0.0130601	0.267561	1	22.3433	0	0.115212	39877.8
2619	11.8864	0.87121	0.522883	1	19.1596	1	0.0730501	0
2620	140.929	0.0407376	0.49048	0	15.4661	0	0.163646	1037.73
2621	170.223	0.965096	0.57223	1	17.5215	2	0.199346	0
2622	36.302	0.853157	0.330383	0	6.99176	1	0.226631	151371
2623	171.444	0.82373	0.328028	0	8.04161	1	0.237185	144204
2624	232.515	0.863174	0.579155	1	23.7993	2	0.227523	0
2625	122.176	0.975822	0.366585	0	12.8304	0	0.102171	68007.7
2626	36.668	0.272295	0.389303	1	12.4776	0	0.191214	0
2627	227.579	0.304275	0.209806	0	21.9863	1	0.208094	4941.44
2628	160.838	0.161151	0.451975	1	19.1387	2	0.208001	0
2629	36.702	0.462164	0.330551	0	15.6206	0	0.177201	2.30544
2630	137.949	0.489803	0.310568	1	19.2468	1	0.0656517	0
2631	238.776	0.385921	0.288025	0	9.78277	2	0.128753	3626.69
2632	55.4522	0.472192	0.451265	1	9.99036	0	0.0510795	1970.33
2633	20.0568	0.0253056	0.28487	1	5.89785	2	0.15408	4119.98
2634	90.8484	0.38124	0.442241	0	20.4376	1	0.17023	0
2635	101.707	0.371963	0.251341	1	10.5166	2	0.0734711	2917.55
2636	3.77901	0.822374	0.284415	0	5.95815	1	0.208495	153291
2637	133.933	0.946698	0.465514	0	8.71035	0	0.0911966	79022.4
2638	37.3599	0.923582	0.364717	1	12.8653	1	0.234281	81784.6
2639	132.912	0.483782	0.443394	1	14.041	0	0.171553	0
2640	242.565	0.0821518	0.340378	0	22.322	2	0.0970847	0
2641	7.68075	0.26096	0.505964	1	19.2397	1	0.139706	0
2642	110.772	0.937854	0.213155	0	24.7607	2	0.198236	315.856
2643	81.6696	0.266093	0.442145	0	9.43649	0	0.0960227	0
2644	22.0877	0.800515	0.300571	1	18.6711	0	0.121371	85.6887
2645	142.069	0.955006	0.248086	0	19.0936	1	0.238862	28530
2646	101.494	0.126595	0.565542	1	14.3147	2	0.113995	0
2647	248.403	0.490396	0.382065	1	12.0936	1	0.176423	33888.8
2648	130.83	0.904138	0.522097	0	9.88565	0	0.171231	0
2649	153.958	0.615157	0.429664	1	9.91093	2	0.207645	4489.41
2650	206.408	0.669459	0.300639	0	5.65584	2	0.0615721	5926.65
2651	80.2604	0.29167	0.582165	1	12.2373	1	0.214564	70194
2652	31.593	0.647026	0.519953	0	22.0193	0	0.15715	0
2653	32.6141	0.732361	0.261913	1	11.3906	0	0.135996	212.521
2654	175.409	0.762532	0.540238	0	9.4428	2	0.112712	4588.75
2655	178.833	0.428104	0.465231	1	11.8142	1	0.163886	22770.4
2656	186.136	0.541391	0.333702	0	15.9511	2	0.0621594	0
2657	96.5996	0.683438	0.351475	1	16.0894	0	0.119254	0
2658	115.004	0.105526	0.577732	0	5.03969	1	0.191842	146224
2659	159.87	0.0795297	0.490262	1	9.78952	1	0.15719	67160.4
2660	235.55	0.986549	0.418128	0	17.579	0	0.065242	87873.5
2661	152.282	0.63649	0.344158	1	24.177	2	0.206734	0
2662	134.038	0.826007	0.465433	0	6.32794	0	0.0779408	5338.72
2663	25.1279	0.137801	0.215272	1	22.2408	1	0.228328	10220.1
2664	133.293	0.168863	0.35358	0	9.00401	2	0.0622854	3710.63
2665	111.494	0.245723	0.264098	1	5.2671	1	0.14814	152528
2666	222.057	0.313472	0.438011	0	16.5422	2	0.0754761	0
2667	61.1216	0.642623	0.41161	1	19.5252	0	0.123372	0
2668	102.484	0.962616	0.531812	0	19.9724	1	0.0975295	0
2669	76.7252	0.909346	0.35802	1	9.38872	0	0.0889061	0
2670	165.31	0.640148	0.555197	0	18.7146	2	0.231659	0
2671	104.983	0.324202	0.244042	1	8.40765	2	0.240589	4199.15
2672	147.832	0.330055	0.565394	0	24.4072	1	0.0798711	0
2673	11.1564	0.899172	0.205542	1	17.1875	0	0.078668	524.921
2674	153.241	0.353834	0.351641	0	5.3984	2	0.217773	34141.5
2675	127.494	0.585226	0.590576	0	11.7428	0	0.147755	0
2676	55.91	0.121942	0.410728	1	15.9356	1	0.22141	13.1717
2677	216.946	0.250273	0.208889	1	21.4443	1	0.216093	7274.2
2678	51.9797	0.465418	0.417521	0	6.11389	0	0.245203	1859.06
2679	189.865	0.589152	0.585391	1	13.1504	2	0.247735	4431.15
2680	229.811	0.185888	0.496886	0	9.25641	2	0.204203	4689.46
2681	119.505	0.0918612	0.280348	1	6.28497	0	0.148899	15908.9
2682	119.901	0.0469215	0.515292	0	14.733	1	0.230901	0
2683	146.824	0.843117	0.360853	0	24.3179	1	0.202166	0
2684	112.667	0.479667	0.44751	1	12.3469	2	0.136549	0
2685	71.4301	0.146884	0.252258	0	20.8893	0	0.23131	190.59
2686	210.262	0.140066	0.450114	1	8.53878	0	0.0950157	1331.23
2687	65.3674	0.357767	0.388267	0	12.1426	1	0.149508	4263.43
2688	211.127	0.122306	0.215651	1	12.5186	2	0.212107	3021.65
2689	149.049	0.190762	0.559771	1	5.4008	2	0.156479	8024.69
2690	87.2068	0.416745	0.211305	0	22.8444	1	0.241974	11978.5
2691	96.017	0.277661	0.538679	1	8.00367	0	0.197518	0
2692	158.529	0.517254	0.214361	0	24.9385	1	0.0750047	238.104
2693	57.368	0.55309	0.298646	1	15.975	0	0.0850489	45.7525
2694	94.7579	0.715937	0.379356	0	24.8524	2	0.0920861	0
2695	86.6617	0.844644	0.236887	1	7.18913	2	0.0842315	3969.43
2696	219.24	0.770758	0.409436	0	15.9137	1	0.231952	0
2697	76.4594	0.272204	0.501084	0	14.122	0	0.15339	0
2698	152.256	0.91732	0.565459	1	20.9609	2	0.186264	0
2699	211.09	0.243785	0.308615	0	17.914	1	0.104787	0
2700	90.6899	0.758205	0.249029	1	9.74048	0	0.243641	174.933
2701	198.128	0.709694	0.343667	1	11.0562	0	0.112537	0
2702	86.5161	0.281589	0.434502	0	24.6422	1	0.0572268	0
2703	15.0338	0.349304	0.333906	0	12.5746	2	0.143572	3027.82
2704	152.903	0.372189	0.291753	1	20.5677	0	0.0842907	0
2705	84.3279	0.189277	0.368794	1	11.8491	2	0.140112	3353
2706	184.691	0.226754	0.205482	0	15.2313	1	0.235281	53275.1
2707	133.423	0.933239	0.512712	1	8.74785	1	0.171158	132875
2708	114.459	0.538168	0.46072	0	14.4793	2	0.051673	0
2709	105.201	0.193038	0.387873	1	19.497	0	0.187887	0
2710	92.3556	0.144588	0.316346	0	20.1118	0	0.223443	0
2711	211.715	0.707698	0.292807	0	13.6077	1	0.110717	0
2712	67.8882	0.293645	0.343296	1	16.3889	2	0.224793	0
2713	60.8976	0.670301	0.577496	0	10.3389	2	0.114775	4391.71
2714	100.344	0.830275	0.591659	1	10.2182	0	0.133787	0
2715	249.152	0.477616	0.560102	0	23.0967	1	0.157084	0
2716	48.7411	0.538018	0.202201	1	15.4957	1	0.0875833	2444.35
2717	203.49	0.907496	0.404008	1	15.5769	2	0.0931282	0
2718	225.934	0.659254	0.56338	0	5.30605	0	0.106066	6097.43
2719	217.725	0.641411	0.592572	1	15.9087	0	0.171328	0
2720	156.078	0.896498	0.23559	0	16.8778	1	0.074711	142.104
2721	138.738	0.296014	0.54888	1	8.47897	2	0.0944247	4638.16
2722	221.557	0.311241	0.201064	0	21.4825	0	0.139191	223.333
2723	186.444	0.927813	0.324699	0	15.7187	2	0.114721	0
2724	30.9592	0.658723	0.335146	1	7.5634	1	0.247035	151164
2725	174.287	0.16539	0.496653	1	23.7681	1	0.0940969	0
2726	61.0412	0.79052	0.516486	0	21.0078	2	0.241899	0
2727	101.102	0.115324	0.340858	1	13.4882	0	0.22818	13.6697
2728	60.6938	0.863809	0.474763	0	6.60677	0	0.205638	81221.2
2729	6.41481	0.244117	0.217462	1	8.53594	2	0.235571	3305.66
2730	198.039	0.807966	0.402884	0	6.80662	1	0.095284	88540.2
2731	65.4516	0.870971	0.421829	1	8.39632	1	0.188343	145386
2732	131.133	0.242301	0.549697	0	22.5062	2	0.115265	0
2733	91.512	0.0643024	0.45387	1	7.73724	0	0.224431	13085.1
2734	56.8367	0.0452492	0.233908	0	10.156	0	0.248502	44558.4
2735	123.668	0.847957	0.553174	0	5.545	1	0.189658	145557
2736	91.8919	0.86443	0.28372	1	18.6773	2	0.234946	48.3825
2737	183.565	0.566403	0.364244	1	19.6897	0	0.113927	0
2738	61.8501	0.0489555	0.221949	0	22.1867	2	0.22135	2497.66
2739	156.487	0.252227	0.422086	1	20.0111	1	0.161146	0
2740	135.105	0.0847424	0.313889	0	12.988	0	0.1427	2.56113
2741	28.4723	0.245089	0.278805	1	22.9652	2	0.0572954	151.588
2742	222.274	0.0247378	0.293551	0	24.6855	1	0.0876391	0
2743	207.972	0.760533	0.313678	1	10.0329	2	0.0593858	3504.8
2744	111.922	0.336718	0.438608	0	24.6515	0	0.245935	0
2745	60.9748	0.078923	0.344453	0	19.2289	1	0.162518	0
2746	19.1322	0.518243	0.55472	1	23.148	2	0.221585	0
2747	203.425	0.586766	0.53519	1	12.5117	0	0.209534	0
2748	161.518	0.0272813	0.264133	0	8.61219	1	0.121144	46737.5
2749	227.541	0.295659	0.25915	1	20.1816	1	0.162159	2.48434
2750	177.187	0.529148	0.534127	0	15.3243	0	0.0715623	0
2751	101.915	0.951695	0.587115	0	19.4924	2	0.204117	0
2752	190.615	0.404591	0.423196	1	12.9855	0	0.247912	0
2753	132.962	0.327107	0.248347	1	11.0859	2	0.100414	2971.7
2754	113.182	0.744694	0.479799	0	23.6238	1	0.184369	0
2755	36.8855	0.273683	0.306057	1	23.2162	1	0.0562262	49.9511
2756	197.838	0.755657	0.524371	0	21.4211	0	0.138413	0
2757	49.5251	0.930226	0.33741	0	7.02411	2	0.211094	126051
2758	53.7143	0.251737	0.389905	1	12.2604	0	0.213577	0
2759	87.8303	0.552002	0.301972	0	16.0555	2	0.226927	2943.07
2760	108.236	0.986379	0.278531	1	20.8133	1	0.0500786	112340
2761	237.985	0.0978662	0.296715	0	21.5184	1	0.221856	0
2762	234.038	0.590923	0.297606	1	21.5862	0	0.0593201	0
2763	109.194	0.364952	0.381576	1	24.1263	2	0.105778	0
2764	102.3	0.0771039	0.29608	0	22.3764	0	0.180437	371.859
2765	51.3265	0.232437	0.355358	1	14.576	2	0.111662	0
2766	192.936	0.784758	0.526043	0	16.4323	1	0.174939	0
2767	170.554	0.15701	0.380623	1	7.92826	2	0.0716126	4192.69
2768	238.267	0.833256	0.564374	0	24.8985	1	0.172837	0
2769	156.01	0.652369	0.525096	1	16.981	0	0.20387	0
2770	1.62422	0.374022	0.402651	0	22.5995	0	0.206987	0
2771	135.583	0.203398	0.218235	1	5.96107	2	0.236845	2854.85
2772	18.8235	0.261914	0.33602	0	20.668	1	0.17534	6.0073
2773	225.394	0.472474	0.230461	0	9.37382	1	0.123793	17772.5
2774	98.2475	0.889354	0.525783	1	21.1658	0	0.175365	0
2775	136.981	0.390136	0.494156	0	11.8368	2	0.202979	4345
2776	145.203	0.568898	0.212061	1	18.2517	2	0.11562	268.779
2777	182.301	0.824036	0.240973	1	22.3866	1	0.235415	9657.42
2778	5.64042	0.256676	0.324127	0	18.2784	0	0.154476	41.7282
2779	91.404	0.706028	0.585586	1	20.9535	1	0.226748	0
2780	240.813	0.827806	0.323461	0	13.5846	2	0.0883678	0
2781	93.6118	0.254476	0.407752	1	6.05395	0	0.131162	2457.72
2782	202.655	0.446259	0.533987	0	20.8187	0	0.214963	0
2783	66.8551	0.227569	0.542255	1	21.4004	2	0.145617	0
2784	147.796	0.891884	0.309276	0	22.6458	1	0.133937	0
2785	126.956	0.556893	0.560888	1	19.4173	0	0.160502	0
2786	17.5728	0.486378	0.520564	0	23.6533	1	0.122502	0
2787	140.267	0.650378	0.235121	1	23.0666	2	0.200443	164.994
2788	125.635	0.78366	0.44531	0	14.113	2	0.222488	0
2789	40.7285	0.153502	0.315834	1	18.1287	1	0.222584	13680.4
2790	227.717	0.0215223	0.532577	0	7.535	0	0.181354	93142.8
2791	34.2296	0.569975	0.358337	0	21.5336	1	0.0884358	0
2792	14.8119	0.725355	0.558561	1	23.2564	0	0.243411	0
2793	184.026	0.173312	0.241252	0	5.20556	2	0.0981352	4396.79
2794	110.42	0.950226	0.438442	1	17.163	0	0.216428	0
2795	44.4122	0.076787	0.512355	1	13.2685	2	0.0559431	0
2796	180.784	0.530934	0.294874	0	10.5591	1	0.0792187	3321.39
2797	4.51054	0.122937	0.26503	0	16.1959	0	0.0555763	249.082
2798	94.5581	0.239642	0.472388	1	22.4704	1	0.178752	0
2799	214.988	0.437299	0.554535	1	8.44132	2	0.167665	4743.65
2800	114.134	0.509633	0.377816	0	8.29259	0	0.173733	0
2801	143.373	0.530711	0.464813	0	16.1242	1	0.110646	0
2802	106.182	0.3392	0.549733	1	6.50121	2	0.0598655	5665.85
2803	83.0814	0.276848	0.398963	0	22.3285	1	0.0804268	0
2804	50.3516	0.978751	0.402286	1	12.5358	0	0.14484	92035.4
2805	56.889	0.236407	0.547574	1	12.0334	2	0.24584	4430.16
2806	217.036	0.683771	0.590798	0	6.92489	2	0.161965	5877.48
2807	154.957	0.867347	0.421743	0	10.9394	1	0.224857	98835.2
2808	202.844	0.53158	0.351426	1	8.2343	0	0.201733	0
2809	165.739	0.425653	0.455929	0	21.0052	0	0.079764	0
2810	20.8515	0.753009	0.424647	1	9.7064	1	0.203672	134326
2811	164.547	0.055869	0.369257	0	6.3792	2	0.116711	7028.15
2812	171.41	0.89151	0.259523	1	6.70832	2	0.0724545	91658.3
2813	106.55	0.468407	0.564078	1	21.22	0	0.138803	0
2814	240.069	0.848516	0.276616	0	14.9237	1	0.0863027	0
2815	193.422	0.443884	0.306798	0	13.4167	2	0.087191	0
2816	118.924	0.529553	0.398656	1	20.974	1	0.156263	0
2817	159.896	0.282702	0.329354	1	10.387	0	0.0782877	0
2818	42.1784	0.0363693	0.318136	0	5.47396	1	0.183564	152236
2819	92.1739	0.909135	0.240852	0	18.5983	2	0.133397	208.455
2820	24.0345	0.537498	0.497949	1	23.8396	0	0.196956	0
2821	137.163	0.461864	0.482102	0	18.815	2	0.198411	0
2822	98.4544	0.30449	0.575599	1	14.1074	1	0.137946	0
2823	210.135	0.625538	0.409065	0	5.84835	0	0.0835229	5350.76
2824	127.345	0.763565	0.236926	1	16.5784	0	0.164687	174.73
2825	185.524	0.0880265	0.588994	0	13.0723	2	0.07462	0
2826	46.2952	0.446925	0.598328	1	7.76153	1	0.123768	109535
2827	56.6579	0.826987	0.330669	1	6.20755	1	0.224722	151565
2828	88.5797	0.388032	0.315509	0	12.7432	2	0.184	3219.7
2829	173.178	0.214298	0.55362	1	6.83581	0	0.0903139	4966.2
2830	19.2425	0.657349	0.521363	0	13.2531	0	0.118355	0
2831	208.137	0.357829	0.328688	0	19.1361	1	0.157653	0
2832	209.158	0.512982	0.547811	1	5.43534	2	0.230881	60792.2
2833	135.477	0.354396	0.503056	0	13.0711	0	0.0637217	0
2834	198.932	0.268878	0.526784	1	9.44456	1	0.105906	4651.27
2835	222.12	0.508198	0.419568	0	21.5533	2	0.0600282	0
2836	28.0498	0.333317	0.311223	1	6.08139	1	0.23658	152618
2837	14.3665	0.165096	0.222391	0	6.0211	2	0.209383	2646.26
2838	4.72745	0.836185	0.565811	1	10.6512	0	0.239693	0
2839	112.284	0.708878	0.534828	1	5.1385	1	0.206114	146441
2840	4.02074	0.522963	0.335807	0	23.9285	0	0.101001	18.2879
2841	189.646	0.722326	0.593965	1	13.1059	2	0.195669	4139.08
2842	244.925	0.978232	0.523797	0	20.0314	2	0.0689806	0
2843	149.065	0.786155	0.254828	1	10.7276	1	0.108853	3078.42
2844	68.832	0.920344	0.434206	0	23.737	0	0.090978	0
2845	171.769	0.0225372	0.258	1	14.6405	2	0.160821	2860.41
2846	161.695	0.780092	0.292037	0	17.5885	1	0.0962468	0
2847	172.981	0.888059	0.336526	0	9.34673	0	0.0570887	1375.49
2848	42.5387	0.704439	0.235988	1	14.7561	1	0.151274	2656.5
2849	21.9128	0.935223	0.543331	1	8.32458	0	0.204906	53936.9
2850	24.5521	0.575577	0.432818	0	6.5538	2	0.0693032	6770.19
2851	138.165	0.84564	0.205879	1	24.09	1	0.222415	7128.03
2852	143.873	0.926064	0.295058	0	17.7534	2	0.213311	0
2853	19.8763	0.402889	0.587153	1	12.2163	0	0.102622	0
2854	216.872	0.192465	0.561423	0	5.65997	1	0.20044	145434
2855	39.3305	0.0187196	0.501066	0	23.0095	0	0.158381	7632.08
2856	211.545	0.281808	0.433505	1	8.46597	2	0.18148	4639.39
2857	7.19311	0.34475	0.539468	0	21.82	0	0.226787	0
2858	27.3403	0.27497	0.342883	1	21.6009	1	0.114056	0
2859	108.219	0.763489	0.220331	0	5.29691	2	0.119197	77787.6
2860	144.554	0.145917	0.227709	1	22.6021	0	0.103708	192.72
2861	13.2054	0.173993	0.394161	1	7.89484	1	0.215904	149091
2862	234.564	0.347174	0.479509	0	13.4837	2	0.0675154	0
2863	142.283	0.693114	0.430259	0	11.8901	0	0.172038	0
2864	116.154	0.842116	0.499135	1	8.52146	2	0.0662894	4523.75
2865	135.795	0.338882	0.225643	0	7.00508	1	0.0562967	4062.48
2866	35.0338	0.136839	0.265712	1	19.1497	0	0.0878104	192.587
2867	82.9605	0.145493	0.288167	0	7.96593	1	0.136419	106015
2868	218.252	0.681546	0.45596	1	19.7494	2	0.232667	0
2869	179.91	0.28801	0.540987	1	21.6373	2	0.0894776	0
2870	229.108	0.780641	0.510531	0	11.7048	0	0.0585334	1714.96
2871	186.28	0.0227883	0.448002	1	22.4639	1	0.093833	0
2872	189.16	0.189055	0.31898	0	8.77602	1	0.0717089	3709.15
2873	175.644	0.39367	0.203102	0	7.03756	0	0.0532505	929.973
2874	78.8638	0.433426	0.244897	1	23.0183	2	0.142234	210.871
2875	134.704	0.841521	0.350098	1	22.2213	0	0.191262	0
2876	116.887	0.618973	0.38271	0	18.649	2	0.155208	0
2877	47.9426	0.797458	0.429417	1	22.1391	1	0.0810413	0
2878	69.9256	0.1298	0.489248	0	17.1859	1	0.165771	0
2879	241.455	0.758749	0.520784	1	7.4668	0	0.158597	671.149
2880	142.843	0.908843	0.272457	0	10.0346	2	0.0747772	3745.87
2881	192.544	0.819562	0.328893	0	12.0143	2	0.230431	3768.76
2882	238.502	0.431378	0.55657	1	11.7625	0	0.0973659	0
2883	21.6942	0.897464	0.220057	0	5.67237	1	0.0530302	47612.8
2884	54.4176	0.674913	0.466299	1	14.9323	2	0.211471	0
2885	13.0839	0.785943	0.584564	1	21.2969	0	0.156976	0
2886	68.9437	0.804708	0.313727	0	11.6285	1	0.240355	101499
2887	165.359	0.417522	0.572609	1	21.6972	2	0.0642509	0
2888	70.6896	0.0617144	0.35281	0	10.3024	1	0.144541	32506.4
2889	241.875	0.69894	0.213817	0	10.1251	0	0.125339	135.933
2890	70.1971	0.891409	0.440684	1	13.6846	1	0.228392	61259.6
2891	245.536	0.190357	0.472491	1	15.8316	2	0.144116	0
2892	5.18422	0.470379	0.20477	0	24.3421	0	0.150504	540.142
2893	163.182	0.507416	0.542935	1	12.6387	0	0.110804	0
2894	219.635	0.138169	0.400506	0	10.8415	1	0.0832311	0
2895	187.091	0.755104	0.515698	0	14.4122	2	0.0898741	0
2896	146.721	0.95355	0.578978	1	8.25182	0	0.111074	97557.6
2897	212.923	0.908296	0.566423	0	20.323	2	0.155898	0
2898	214.93	0.0697934	0.214535	1	19.2262	1	0.106606	163.897
2899	147.529	0.637853	0.492837	0	11.9522	1	0.216018	76474.8
2900	70.9571	0.0177524	0.539615	1	24.6288	2	0.198757	0
2901	41.3335	0.368861	0.551134	1	13.914	0	0.203561	0
2902	176.87	0.569534	0.532124	0	22.5019	0	0.154821	0
2903	210.705	0.696154	0.412095	1	5.03687	2	0.202659	96269.7
2904	57.706	0.633332	0.256795	0	10.0423	1	0.197975	105218
2905	207.535	0.470248	0.347961	1	20.3202	0	0.226825	0
2906	66.2355	0.786959	0.234703	0	16.455	1	0.234243	32442.2
2907	122.813	0.0486806	0.348085	1	12.8787	2	0.157792	0
2908	122.474	0.31016	0.505285	0	13.0833	2	0.171474	0
2909	99.9012	0.868304	0.512009	0	11.106	1	0.166956	44947.3
2910	126.717	0.254196	0.269013	1	8.94018	0	0.144679	54.0398
2911	70.804	0.617323	0.428362	1	24.763	2	0.236276	0
2912	20.2186	0.207615	0.351259	0	20.8954	0	0.204626	0
2913	176.258	0.352169	0.474435	1	11.835	1	0.0895502	0
2914	205.38	0.726126	0.311351	0	5.06682	1	0.119482	147981
2915	229.746	0.230834	0.220363	1	12.9226	2	0.194743	3048.14
2916	102.904	0.127466	0.518243	0	7.07687	0	0.201619	2041.82
2917	72.4846	0.0315884	0.309581	1	6.74028	2	0.0699548	5122.3
2918	227.944	0.63086	0.477886	0	12.2242	1	0.111828	0
2919	122.365	0.389271	0.394653	0	19.4559	0	0.155116	0
2920	204.532	0.258852	0.391663	1	17.8251	1	0.146106	0
2921	190.28	0.191261	0.459565	1	19.6781	0	0.0774887	0
2922	150.522	0.37674	0.336699	0	17.2483	2	0.12798	0
2923	215.592	0.0384458	0.490309	1	13.7362	1	0.198875	0
2924	127.44	0.951833	0.464166	0	13.046	0	0.152427	0
2925	117.664	0.440313	0.595883	0	7.15816	2	0.136328	6128.62
2926	127.066	0.0190395	0.484964	1	12.6791	1	0.120866	0
2927	58.1528	0.901624	0.558234	1	9.41911	2	0.174673	82224
2928	40.0342	0.743454	0.201101	0	20.7611	0	0.14293	496.991
2929	207.316	0.647905	0.543208	1	5.75343	2	0.0579155	7483.73
2930	136.847	0.23549	0.274891	0	18.2455	0	0.165115	28.0512
2931	125.883	0.799583	0.431342	0	10.7216	1	0.0853832	0
2932	55.9458	0.797381	0.539295	1	14.1011	2	0.0931786	0
2933	49.4798	0.290014	0.402042	1	15.0334	1	0.0857921	0
2934	82.5761	0.499936	0.277391	0	15.5589	0	0.208351	78.668
2935	11.4691	0.985681	0.331274	1	8.01977	2	0.192087	146101
2936	187.374	0.710221	0.596898	0	22.3236	1	0.105996	0
2937	229.503	0.652554	0.545327	1	9.5274	0	0.212076	0
2938	112.771	0.645429	0.577272	0	16.4883	0	0.0938084	0
2939	188.055	0.363791	0.337917	1	23.5995	2	0.148584	0
2940	145.844	0.92231	0.25747	0	8.62212	1	0.158603	108176
2941	104.296	0.578753	0.382582	1	17.7567	1	0.172671	0
2942	217.748	0.931528	0.500751	0	23.9158	0	0.248149	0
2943	21.7651	0.267263	0.354443	0	22.2191	2	0.0981933	0
2944	233.573	0.854325	0.239434	1	9.30317	1	0.132682	44153.1
2945	178.25	0.722763	0.468122	0	7.04097	0	0.08542	4173.44
2946	191.589	0.705054	0.461494	1	13.8764	2	0.162948	0
2947	37.1546	0.569602	0.256465	0	19.2598	1	0.247828	20893
2948	33.0042	0.783587	0.237201	1	13.6036	0	0.0641186	323.532
2949	238.833	0.0129652	0.416711	1	13.7047	2	0.14252	0
2950	80.6366	0.501187	0.567192	0	16.452	2	0.214873	0
2951	165.897	0.191837	0.326083	0	7.1615	1	0.091865	39012.7
2952	107.277	0.838408	0.482193	1	9.11904	0	0.219438	0
2953	92.8443	0.154643	0.521288	1	11.5188	0	0.188814	0
2954	58.4798	0.575274	0.512087	0	14.4806	2	0.169566	0
2955	40.6296	0.957539	0.248706	1	20.1561	1	0.205663	21470.1
2956	49.9964	0.291163	0.209129	0	9.97714	2	0.202711	2704.59
2957	220.888	0.885681	0.313036	0	8.54872	1	0.091115	4939.54
2958	103.524	0.265614	0.490979	1	8.36721	0	0.15582	0
2959	123.466	0.0431722	0.27573	0	5.81976	0	0.231466	118028
2960	7.67243	0.15664	0.375159	1	9.69758	2	0.161203	3438.72
2961	148.061	0.317039	0.356279	1	22.7675	1	0.176553	0
2962	237.324	0.832138	0.20376	0	21.1575	0	0.106896	189.955
2963	154.585	0.495842	0.336795	1	24.0527	1	0.0762207	0
2964	94.4764	0.559472	0.568134	0	12.6561	2	0.241019	4366.61
2965	238.458	0.979847	0.448597	0	21.2556	0	0.226727	1256.41
2966	222.31	0.858388	0.377484	1	14.2323	2	0.155026	0
2967	79.6328	0.952469	0.226914	1	5.26913	1	0.100232	148618
2968	78.252	0.14119	0.31844	0	8.2011	2	0.219229	5292.28
2969	198.723	0.348182	0.428344	0	17.4708	1	0.234482	0
2970	77.8711	0.127559	0.385048	1	11.1529	0	0.115572	0
2971	29.5555	0.654798	0.303483	0	18.4	2	0.156741	66.509
2972	161.808	0.85736	0.334486	1	22.7413	1	0.0629364	0
2973	179.644	0.543134	0.385306	1	12.5642	0	0.169374	0
2974	224.197	0.687167	0.509543	0	9.94463	0	0.121814	0
2975	158.728	0.49804	0.451507	1	8.7618	2	0.13943	4582.43
2976	34.6419	0.511268	0.387354	0	5.73555	1	0.16917	150251
2977	230.934	0.963267	0.399732	1	11.6808	1	0.105267	0
2978	130.914	0.4512	0.202056	0	15.2042	2	0.133023	2613.54
2979	151.401	0.939462	0.257595	1	7.12008	0	0.0558138	99125.8
2980	60.1956	0.839757	0.264418	0	17.7861	0	0.111208	157.489
2981	225.314	0.680789	0.498445	0	10.6495	2	0.115624	4392.93
2982	135.297	0.818403	0.531298	1	6.10377	1	0.0959529	134125
2983	70.4565	0.464418	0.520531	0	5.50183	2	0.17571	35770.9
2984	85.2435	0.844175	0.530868	1	19.3979	1	0.0739217	0
2985	12.4558	0.574149	0.427649	0	8.27659	0	0.14484	0
2986	128.024	0.423659	0.426895	1	22.8682	0	0.167256	0
2987	74.9863	0.45948	0.257639	0	23.32	2	0.201579	162.389
2988	177.247	0.594783	0.588637	1	19.2413	1	0.224706	0
2989	249.94	0.845885	0.246874	0	18.9915	1	0.236908	15646.2
2990	84.0818	0.120237	0.425201	1	11.0757	0	0.168558	0
2991	43.4808	0.86217	0.283298	0	10.8319	2	0.20951	3784.18
2992	95.541	0.369843	0.425875	1	9.23743	0	0.249536	0
2993	64.14	0.862255	0.563722	0	7.52651	1	0.136022	118872
2994	86.2175	0.108684	0.237158	1	23.5249	2	0.224693	234.605
2995	125.05	0.077966	0.595993	1	10.7639	2	0.106348	4366.83
2996	6.87658	0.742396	0.498369	0	18.6235	0	0.0802308	0
2997	47.1116	0.775519	0.397203	1	14.2307	1	0.225251	54003.7
2998	135.343	0.290868	0.559547	0	16.1144	2	0.102103	0
2999	205.327	0.51331	0.236651	0	21.5448	1	0.111151	80.5221
3000	10.0682	0.0631443	0.36292	1	7.79401	0	0.142882	4838.95
3001	182.774	0.685037	0.376263	1	20.0661	2	0.232361	0
3002	153.632	0.544022	0.218368	0	12.2471	1	0.132908	2845.13
