Simulation,Annual.financial.bail-out,Attention.rate.for.planning.new.infrastructure,Default.infrastructure.aging.time,Maximum.capacity.exceeding,Percentage.of.income.used.for.maintenance,Staff.Hired,Staff.required.for.tankers,Staff.service.time,switch.policy.staff.attention,Target.percentage.infrastructure.maintenance,householdshortage
61,26.9993,0.981159,24.1899,0.102117,0.231877,8.70311,1,7.88657,0,0.197603,169793
62,36.1224,0.223683,36.9833,0.390294,0.202267,4.19246,0,6.59574,2,0.188705,11976.5
63,190.629,0.918939,22.7663,0.315529,0.519839,2.37793,1,6.48166,1,0.161019,30.9454
64,142.354,0.0204174,36.2761,0.184055,0.361215,23.4643,0,8.95229,2,0.165567,3813.18
65,26.7487,0.256721,29.5675,0.220179,0.583471,22.2124,1,15.8606,0,0.0804595,3849.35
66,232.112,0.694319,23.1613,0.319421,0.431199,26.83,0,18.5801,1,0.152888,4621.18
67,117.822,0.161015,20.9196,0.428209,0.491993,23.0308,0,6.52315,1,0.186271,5063.96
68,151.023,0.771914,28.3715,0.367038,0.328725,47.6282,1,24.0667,2,0.190992,4681.15
69,123.946,0.608249,32.6709,0.273151,0.35425,35.5707,0,5.11803,0,0.209875,4158.85
70,176.291,0.363501,32.9104,0.229828,0.388391,1.03599,1,20.6488,1,0.0852323,177019
71,225.525,0.242242,31.7596,0.206741,0.570926,41.5794,1,20.9835,0,0.215193,3584.31
72,42.2487,0.78034,25.4374,0.274274,0.290066,10.8292,0,13.3525,2,0.235898,6336.42
73,48.5244,0.785736,28.427,0.128083,0.240002,5.99259,0,21.7873,2,0.0998591,6114.27
74,155.653,6.31E-05,28.6453,0.127389,0.258835,41.406,1,13.7221,0,0.223347,144338
75,233.247,0.824194,21.7387,0.0696971,0.486385,34.1524,1,9.6248,1,0.158776,4490.45
76,133.051,0.844941,23.4864,0.259602,0.534979,22.4749,0,6.65241,1,0.185959,4509.4
77,103.673,0.313043,24.6501,0.202361,0.303331,9.89188,1,19.1554,2,0.218763,5833.47
78,193.821,0.872512,38.8459,0.286986,0.308025,30.5761,0,6.57725,0,0.214468,3947.2
79,187.484,0.925117,36.6605,0.346188,0.23979,44.6417,0,6.70603,2,0.10252,4700.74
80,52.0019,0.88091,25.3365,0.101444,0.296574,16.0551,1,19.855,1,0.168956,5910.2
81,42.3912,0.424097,28.9604,0.121037,0.579544,3.72285,1,20.0031,0,0.16175,3882.64
