Simulation,Annual.financial.bail-out,Attention.rate.for.planning.new.infrastructure,Default.infrastructure.aging.time,Maximum.capacity.exceeding,Percentage.of.income.used.for.maintenance,Staff.Hired,Staff.required.for.tankers,Staff.service.time,switch.policy.staff.attention,Target.percentage.infrastructure.maintenance,householdshortage
2690,36.9012,0.0174529,37.7775,0.321803,0.497799,48.554,1,22.8425,0,0.065815,3170.26
2691,172.522,0.430823,20.9141,0.250988,0.520714,35.8799,0,24.0836,2,0.0941135,4976.45
2692,193.301,0.555476,33.1699,0.0342523,0.50276,23.236,1,12.1389,2,0.12162,3462.66
2693,195.166,0.65916,22.06,0.159933,0.535193,27.0582,1,15.4626,1,0.230727,4688.02
2694,59.0221,0.337437,36.8844,0.177305,0.362653,46.5875,0,8.86149,0,0.198964,4029.19
2695,197.864,0.0310545,39.8807,0.196817,0.474906,19.1762,0,21.2469,0,0.153284,3201.92
2696,148.463,0.139005,34.9626,0.23239,0.280202,16.2844,1,24.3801,1,0.176324,4559.93
2697,10.6538,0.196429,38.3784,0.148323,0.423979,37.6096,0,22.4356,2,0.246261,3689.38
2698,176.798,0.998623,22.4687,0.104725,0.486511,40.6428,1,19.8174,0,0.101308,31207.8
2699,11.1622,0.794244,34.5336,0.331475,0.540218,4.25708,0,15.345,2,0.172173,3274.45
2700,20.9982,0.0698311,34.5979,0.289195,0.51505,11.9012,1,17.9891,1,0.137222,3291.11
2701,168.105,0.966021,31.1853,0.0699444,0.378406,36.8675,0,19.1321,0,0.132317,3916.25
2702,72.9645,0.10498,22.0445,0.234888,0.235726,21.9997,1,9.21776,2,0.131634,9202.73
2703,21.077,0.744559,25.1965,0.196223,0.459599,3.34773,1,15.0819,1,0.216875,154135
2704,37.1824,0.534961,27.453,0.286089,0.233804,31.8699,0,14.7927,2,0.138659,6875.65
2705,160.584,0.768572,34.3396,0.0668101,0.483611,12.562,1,10.1875,0,0.220335,3464.89
2706,99.7197,0.757968,24.5943,0.484579,0.543502,12.3092,0,12.5845,1,0.111189,4364.57
2707,144.528,0.659324,33.0167,0.180336,0.439947,17.6537,0,6.47751,2,0.214015,3461.67
2708,60.8018,0.702294,38.961,0.110025,0.506616,34.6573,1,7.36473,0,0.159234,3114.93
2709,135.114,0.164347,35.9476,0.298311,0.594243,30.9437,0,12.5246,1,0.0668465,3343.47
2710,238.313,0.47587,26.0249,0.434702,0.587797,41.7941,1,8.10986,0,0.166072,4067.97
2711,82.9346,0.804763,29.6296,0.236717,0.274113,44.2907,1,15.1785,2,0.0525021,5434.57
2712,173.783,0.884747,34.7696,0.360427,0.505663,10.8111,0,9.99032,1,0.179099,3456.84
2713,106.2,0.761697,27.6761,0.176931,0.391217,30.4029,0,11.1365,0,0.136433,4312.54
2714,45.0028,0.384256,36.3946,0.0239549,0.513275,9.84774,1,9.70548,2,0.100637,3204.73
2715,231.609,0.931208,31.0381,0.415535,0.589521,18.7156,1,18.161,1,0.159148,3619.35
2716,55.5688,0.548116,33.2716,0.27784,0.355833,41.0681,0,15.166,2,0.144836,4342.22
2717,140.24,0.109319,22.4128,0.0809345,0.466231,38.5466,1,6.93683,1,0.219628,4470.57
2718,113.43,0.476418,39.0401,0.209565,0.273754,11.2555,0,17.7066,0,0.149472,4422.09
2719,63.0596,0.615893,20.641,0.499082,0.344813,16.7253,1,18.9454,1,0.111958,6613.55
2720,152.837,0.580947,36.2101,0.056745,0.271854,32.1984,0,5.24125,2,0.0599378,4512.37
2721,92.2132,0.239297,24.9775,0.416559,0.330986,22.9295,1,14.3387,0,0.173524,5412.6
2722,69.5793,0.41384,36.2354,0.204837,0.291829,23.6433,0,18.2465,2,0.249285,4593.78
2723,220.464,0.198856,38.2648,0.0026876,0.316841,16.9067,1,13.5449,0,0.14504,3937.38
2724,35.1122,0.674733,27.3541,0.159982,0.31736,9.09335,0,23.4709,1,0.211975,5481.64
2725,92.1638,0.317216,30.3324,0.287343,0.556077,3.99333,0,24.7809,2,0.204119,3765.32
2726,88.6616,0.145591,25.8102,0.238476,0.204013,44.0584,1,16.5539,1,0.0908136,7750.21
2727,72.6684,0.975864,28.787,0.305657,0.291363,45.5115,0,11.0073,0,0.2442,5398.8
2728,76.1862,0.185207,26.1227,0.416753,0.251972,15.5764,1,13.7301,0,0.0919628,6631.01
2729,85.1299,0.965961,38.4318,0.0685387,0.426317,26.5169,1,18.5749,1,0.210433,3435.38
2730,241.422,0.939464,36.8453,0.387625,0.46113,1.82471,0,18.9209,2,0.227308,157582
2731,93.636,0.0562825,34.704,0.395759,0.494677,40.4187,1,6.86756,1,0.160142,3488.78
2732,56.1819,0.956452,31.7381,0.394836,0.468391,46.9317,0,12.4694,0,0.116458,3589
2733,147.621,0.778683,33.2912,0.0823654,0.281974,27.4421,0,15.3509,2,0.160525,4661.62
2734,180.604,0.463193,36.3103,0.498519,0.370732,3.51266,1,10.0135,2,0.05449,9862.23
2735,43.6895,0.55556,26.4022,0.335321,0.417816,14.7825,1,20.5687,1,0.101845,4487.27
2736,112.552,0.00903524,26.411,0.137005,0.363967,31.2551,0,12.4219,0,0.122878,7017.05
2737,94.6928,0.806512,33.5304,0.412562,0.305853,35.0851,0,6.60837,0,0.203261,4612.71
2738,94.1702,0.236508,30.5771,0.399274,0.406203,30.243,1,13.9581,2,0.244385,3989.02
2739,32.5442,0.709776,33.433,0.295108,0.250168,16.0456,1,21.182,1,0.22562,5380.38
2740,218.497,0.6026,29.7727,0.164709,0.307547,10.7958,0,18.2515,2,0.154127,4516.65
2741,164.256,0.20677,22.966,0.203353,0.413048,9.37085,1,6.94426,1,0.0732564,4419.63
2742,86.7121,0.413422,28.7925,0.05021,0.305107,18.8919,0,21.3132,0,0.186106,5080.6
2743,82.989,0.30315,30.3586,0.327012,0.367456,2.64986,1,11.0594,1,0.141037,192247
2744,207.94,0.532633,23.5333,0.159245,0.428626,43.6275,0,9.52227,0,0.218782,4481.85
2745,244.164,0.823196,35.5382,0.422426,0.493074,48.2121,0,20.7377,2,0.193757,3394.56
2746,14.3628,0.786661,39.0938,0.361407,0.309551,12.7799,1,14.7354,1,0.0895998,4419.6
2747,240.181,0.59331,20.7227,0.448113,0.444848,42.0515,0,21.5127,0,0.157928,5077.9
2748,189.721,0.404276,26.9876,0.17645,0.393706,44.7747,1,14.7427,2,0.066153,4024.35
2749,26.245,0.793443,23.4907,0.311433,0.386755,37.5898,0,17.9928,2,0.181263,5366.69
2750,231.461,0.100922,23.8889,0.163411,0.316822,0.840597,1,16.0351,1,0.219736,206516
2751,14.8895,0.691111,38.1721,0.273959,0.530328,32.0876,1,5.29631,0,0.133671,3093.13
2752,118.349,0.261085,34.0634,0.354189,0.251011,4.88092,0,15.6448,2,0.102816,5012.51
2753,146.381,0.456203,36.8021,0.148219,0.518139,2.15811,1,5.10565,1,0.123791,163594
2754,231.292,0.362756,27.0846,0.284041,0.312157,35.9545,0,17.0032,0,0.167392,4692.92
2755,93.8298,0.346562,24.5592,0.482205,0.250804,34.6321,1,24.1475,1,0.099982,7186.23
2756,81.8891,0.556889,27.7352,0.25264,0.352326,47.7994,0,8.09775,0,0.104364,4802.16
2757,75.8246,0.228386,31.0681,0.0137944,0.594497,29.3373,0,9.9758,2,0.189033,3548.31
2758,230.754,0.741314,20.6897,0.152545,0.412721,37.7519,1,5.08971,1,0.128647,4803.62
2759,77.2565,0.0290142,20.2146,0.328343,0.303446,42.1846,1,19.5904,0,0.127284,8261.53
2760,134.206,0.407293,26.3095,0.296354,0.210599,27.482,0,12.7632,2,0.162575,7170.15
2761,213.75,0.168502,30.0331,0.112336,0.238922,1.45103,1,14.3268,1,0.191364,184296
2762,213.645,0.605422,33.085,0.32626,0.463731,6.48604,0,10.2732,0,0.138402,3581.12
2763,91.6911,0.610866,39.1911,0.0637465,0.210099,17.5746,0,8.67722,2,0.224658,4956.31
2764,114.383,0.498325,37.9185,0.173073,0.457332,34.5465,1,20.2984,1,0.0509688,3182.95
2765,108.35,0.954488,34.3244,0.386477,0.445086,32.1269,0,9.33946,2,0.236577,3417.97
2766,176.703,0.148432,38.4679,0.383588,0.409022,3.03085,1,21.2224,0,0.0719424,3247.59
2767,89.1333,0.594066,33.3353,0.270851,0.323471,39.7301,0,24.1202,1,0.0936639,4491.61
2768,22.0962,0.0754059,35.8498,0.354778,0.586675,28.9212,1,19.7008,0,0.0848338,3412.87
2769,105.274,0.316281,32.7336,0.432059,0.223791,38.6266,0,7.92194,2,0.139246,5509.86
2770,135.723,0.139751,30.239,0.15464,0.297995,43.9557,1,15.7411,0,0.208448,4864.56
2771,95.5511,0.994046,26.0013,0.330657,0.205642,23.5154,1,6.37816,2,0.108807,194699
2772,239.82,0.673944,36.4881,0.431253,0.268942,37.3135,0,17.9568,1,0.202556,4307.19
2773,90.6569,0.669861,26.217,0.142564,0.42441,11.5615,0,22.8528,2,0.23848,4210.91
2774,16.6273,0.433826,36.7163,0.462897,0.21957,18.1408,1,19.5806,1,0.198206,5353.87
2775,225.254,0.607563,35.9344,0.445101,0.477727,48.5212,0,24.0017,0,0.0882689,3389.81
2776,244.786,0.577826,22.2842,0.484439,0.205166,18.5648,1,22.4709,2,0.105518,8758.93
2777,218.679,0.124808,27.9068,0.118976,0.247872,18.0205,0,22.6521,1,0.150815,5408.63
2778,200.294,0.581996,38.321,0.199484,0.22838,23.1306,1,6.71814,0,0.197031,4655.01
2779,41.4979,0.53187,28.3576,0.0507581,0.521731,14.9973,1,7.48717,2,0.0979613,3652.85
2780,8.52643,0.240083,28.4942,0.160285,0.506434,36.6361,0,13.9823,0,0.174898,3746.61
2781,208.149,0.423615,28.4444,0.348942,0.212021,9.40973,0,14.764,1,0.163151,6012.69
2782,117.962,0.75426,24.3037,0.0318698,0.447108,20.1154,1,5.32395,2,0.122837,4111.19
2783,235.314,0.68041,25.4775,0.479519,0.552692,4.92736,1,18.9384,1,0.187463,4165.54
2784,147.741,0.152527,35.7217,0.45177,0.294409,12.7992,0,6.35931,0,0.156349,4378.15
2785,10.8524,0.659959,36.488,0.162411,0.248828,33.2311,1,16.1097,2,0.241492,5122.94
2786,10.243,0.974271,27.3416,0.101021,0.569881,18.3087,0,24.3472,0,0.225355,4010.26
2787,169.841,0.70183,29.82,0.0154078,0.307116,22.348,0,10.3397,1,0.2208,4677.77
2788,168.278,0.558797,39.9671,0.364558,0.521622,16.4065,1,13.1911,1,0.0929433,3174.83
2789,61.2505,0.910944,31.1827,0.373004,0.475308,44.6118,0,20.0386,0,0.156756,3567.21
2790,199.616,0.651622,32.339,0.274076,0.59727,47.1456,1,20.3653,2,0.191448,3535.65
2791,6.65353,0.939903,32.3989,0.155691,0.516538,20.6233,1,20.127,1,0.186843,3438.49
2792,159.537,0.404493,34.9745,0.415444,0.401608,36.919,0,23.5837,0,0.0673381,3521.01
2793,97.1988,0.92449,24.5911,0.475728,0.374831,21.6757,0,15.4926,2,0.207574,4880.08
2794,4.63769,0.0140949,33.156,0.0831855,0.271459,38.7098,1,18.6213,2,0.219835,5222.95
2795,185.328,0.639868,35.1065,0.322497,0.437141,13.8277,1,19.3225,0,0.181998,3408.48
2796,143.671,0.187601,26.7333,0.183752,0.360524,41.3937,0,5.1543,1,0.126625,4550.26
2797,48.2859,0.514647,35.3699,0.35227,0.316128,19.7203,0,24.2251,2,0.206823,4527.59
2798,22.1867,0.905078,36.6371,0.267216,0.325147,38.1284,1,19.0126,0,0.0817327,4446.78
2799,240.172,0.688579,20.9349,0.308546,0.372108,9.43715,1,10.75,1,0.14315,4825.27
2800,156.235,0.874912,25.2412,0.108034,0.36964,3.95872,0,11.9733,1,0.0590556,145449
2801,183.625,0.711903,39.0993,0.188959,0.428084,6.6541,1,21.3808,0,0.198779,3164.4
2802,59.656,0.0139968,36.7371,0.43256,0.3287,6.46974,0,11.0526,2,0.176278,4291.66
2803,163.352,0.599647,37.727,0.382271,0.533785,49.8435,0,8.20817,2,0.10441,3276.89
2804,136.012,0.322806,37.8273,0.323441,0.293424,43.3041,1,17.3871,0,0.0812396,4278.12
2805,147.667,0.0165794,31.6111,0.0186036,0.283376,15.9651,0,20.3011,1,0.115496,4794.95
2806,55.4429,0.684055,39.2816,0.223382,0.461743,29.2753,1,13.7368,0,0.246399,3254.62
2807,42.4692,0.83891,37.3686,0.379798,0.313784,33.4784,0,18.1268,1,0.241599,4417.52
2808,20.4735,0.133622,27.3456,0.207627,0.27483,44.5785,1,11.9988,2,0.20125,6199.23
2809,171.597,0.513827,20.5779,0.136589,0.461431,39.4668,0,8.42595,2,0.245466,4972.97
2810,171.437,0.00717508,32.8944,0.0248299,0.419836,9.76217,1,10.857,1,0.249692,3518.2
2811,68.8223,0.922803,27.0088,0.181044,0.366036,11.0464,1,16.6246,0,0.248234,4809.11
2812,164.164,0.979759,21.0947,0.141427,0.572515,12.8935,0,12.252,0,0.194829,4992.36
2813,145.749,0.683378,30.6441,0.400492,0.597616,29.0194,0,12.8549,2,0.112007,3682.96
2814,105.248,0.700532,39.5012,0.190224,0.373344,3.66027,1,20.8749,1,0.157333,3669.3
2815,178.53,0.663833,29.4433,0.420114,0.571059,38.5195,1,15.5531,0,0.193618,3784.18
2816,169.426,0.712078,24.5239,0.191189,0.557768,38.8194,0,23.2883,2,0.0999668,4316.94
2817,155.054,0.51707,36.7676,0.0841938,0.330057,1.49502,0,24.1585,1,0.225693,153383
2818,6.84802,0.212325,33.3621,0.0936432,0.525321,49.4795,1,17.5445,1,0.240412,3341.86
2819,175.47,0.998849,30.8582,0.434358,0.270219,18.8953,1,20.9154,2,0.129897,143554
2820,144.34,0.140679,23.1768,0.215373,0.258633,45.3008,0,6.98996,0,0.195414,6869.98
2821,70.216,0.27885,22.4816,0.371289,0.339332,6.52664,0,24.3211,1,0.0776917,6005.08
2822,34.6449,0.370096,32.5021,0.446484,0.380032,19.8652,1,5.95116,2,0.180303,4286.73
2823,183.674,0.99996,21.5719,0.199589,0.386032,15.8166,1,23.2657,0,0.128359,163656
2824,23.0647,0.359378,39.1858,0.259011,0.228273,3.30963,0,15.9346,2,0.220717,8277.41
2825,235.658,0.177973,29.402,0.246663,0.470528,0.364799,0,22.6232,1,0.121264,188420
2826,75.4133,0.217771,32.9581,0.192803,0.521883,37.2636,1,16.0796,0,0.185114,3612.43
2827,46.9619,0.334902,22.5717,0.215427,0.236248,2.3236,1,23.3637,2,0.145147,211951
2828,12.4298,0.369139,31.4857,0.0450954,0.488601,19.3781,0,6.95093,0,0.0987022,3723.54
2829,115.213,0.188716,33.569,0.390359,0.44528,49.0096,0,20.7048,1,0.150581,3442.72
2830,200.564,0.831505,36.8297,0.318465,0.404474,23.5616,1,15.9246,0,0.0665739,3297.8
2831,82.2505,0.337354,33.2953,0.237959,0.54476,11.6228,1,10.8095,2,0.154693,3565.45
2832,207.962,0.121889,22.7406,0.216031,0.541157,36.7029,0,14.8993,1,0.0808118,4573.97
2833,133.306,0.296934,22.449,0.220415,0.342477,49.078,0,11.1249,0,0.147673,5460
2834,96.9628,0.0523532,25.2328,0.474677,0.51057,21.4461,1,10.8892,2,0.103391,4320.12
2835,151.445,0.519842,39.3283,0.306421,0.43676,10.874,1,7.58619,1,0.164154,3139.03
2836,78.9893,0.898086,21.5755,0.263289,0.212692,0.811218,0,17.3948,2,0.245158,21.5881
2837,70.069,0.365041,38.5214,0.476634,0.378029,13.672,1,9.7544,0,0.168098,3792.69
2838,58.5043,0.146463,25.0247,0.0483422,0.442164,44.4069,0,7.3103,1,0.186583,4373.06
2839,210.706,0.840365,31.1264,0.123284,0.460419,3.14898,1,16.5185,2,0.200828,60586.5
2840,15.2654,0.225501,36.4407,0.018918,0.534946,14.6665,0,7.74909,0,0.215257,3234.48
2841,76.6755,0.5003,20.612,0.114501,0.475463,6.79847,1,21.6982,1,0.111923,4544.28
2842,187.544,0.687651,21.0507,0.140312,0.37686,12.3966,0,19.5778,2,0.207144,4860.88
2843,203.93,0.942285,22.5275,0.0490076,0.499758,46.9781,1,14.0503,1,0.177584,4327.87
2844,14.1532,0.279125,32.9976,0.200035,0.407048,32.5841,0,20.0661,0,0.157265,4121.08
2845,21.3232,0.347246,38.4419,0.225058,0.3384,13.0374,0,24.5975,0,0.200151,4230.32
2846,77.6604,0.360025,34.0883,0.252516,0.569167,12.9835,1,21.3673,1,0.171989,3497.35
2847,242.656,0.157668,39.4083,0.247677,0.450096,34.0881,0,24.5105,2,0.234742,3226.2
2848,122.896,0.558093,36.3302,0.253091,0.224425,32.3529,1,13.7439,0,0.23332,5046.83
2849,81.1692,0.699383,23.8019,0.125091,0.455743,21.3287,0,11.4886,1,0.0696525,4234.96
2850,50.8993,0.155558,36.3688,0.355216,0.257331,44.8781,1,18.3307,2,0.0841452,4938.83
2851,113.077,0.430768,32.9891,0.0921201,0.366632,27.0753,0,14.9737,0,0.0648667,4071.37
2852,172.121,0.295532,36.3915,0.128602,0.480255,7.34347,1,16.4722,1,0.239008,3385.39
2853,154.388,0.198126,20.4064,0.156515,0.257317,11.2805,1,15.4078,2,0.120409,7622.72
2854,75.0252,0.0069576,33.9783,0.262683,0.352273,27.2146,0,10.5844,2,0.113636,4248.27
2855,128.13,0.729269,24.6256,0.268492,0.338445,3.52681,1,20.9371,1,0.22604,198046
2856,49.4927,0.310132,28.2669,0.0968306,0.289911,42.4753,0,11.0448,0,0.0922939,5497.08
2857,151.465,0.248237,29.9489,0.292083,0.331636,15.3395,1,17.8202,2,0.205965,4491.86
2858,213.24,0.789017,35.9175,0.00846678,0.209929,22.3341,0,12.2912,0,0.124085,4923.9
2859,154.835,0.238558,31.008,0.379652,0.563527,2.96819,1,24.3437,1,0.067415,12055.4
2860,120.159,0.470586,27.5158,0.164449,0.482268,15.5964,0,13.3477,1,0.114593,4065.03
2861,122.09,0.338371,31.5149,0.281923,0.420049,47.5929,0,10.0513,2,0.163069,3707.61
2862,123.14,0.136926,20.6465,0.122449,0.286964,17.7768,1,18.068,0,0.0534994,6873.59
2863,88.8436,0.0661887,39.4617,0.435397,0.408273,23.6636,0,8.84565,0,0.151303,3482.21
2864,249.833,0.414663,36.8642,0.247734,0.463325,15.2617,1,22.272,2,0.0635941,3340.83
2865,73.3284,0.835043,24.242,0.461298,0.256514,28.4085,1,9.14832,1,0.12359,7468.67
2866,147.191,0.580075,35.5344,0.411178,0.410908,4.01593,0,11.3917,0,0.241535,3462.88
2867,152.509,0.905205,29.4923,0.331628,0.481197,23.1802,1,7.49328,2,0.232015,3868.74
2868,242.356,0.516442,37.6134,0.0614433,0.337128,18.6497,0,9.40232,1,0.208211,3659.2
2869,165.648,0.0203271,30.4365,0.354007,0.568754,23.5485,0,7.83766,0,0.1616,3711.24
2870,159.947,0.524953,22.0799,0.0407626,0.329053,12.275,1,24.6978,2,0.0583401,5404.67
2871,177.397,0.36496,33.9976,0.379836,0.260649,31.2985,1,20.3374,1,0.217019,4744.09
2872,162.756,0.0471019,37.4586,0.178558,0.221696,8.4445,0,16.2149,0,0.0829091,4873.58
2873,120.974,0.295291,36.3826,0.099158,0.261904,10.8835,0,24.8055,2,0.0923411,4673.97
2874,222.331,0.354323,36.776,0.193932,0.573652,7.71176,1,12.1727,1,0.0808282,3276.85
2875,59.0348,0.55067,24.9079,0.351739,0.286112,9.39339,1,8.17106,0,0.0679604,6443.75
2876,184.44,0.0527645,33.3411,0.460345,0.550063,9.38278,0,19.9383,2,0.230506,3509.95
2877,211.19,0.183409,22.3214,0.446822,0.55934,47.3191,1,15.4555,1,0.123911,4621.73
2878,14.3105,0.44603,36.6897,0.260462,0.510249,36.3588,0,7.09217,1,0.122035,3223.02
2879,218.432,0.313396,26.0766,0.328667,0.266344,42.0909,0,13.9675,0,0.202695,5507.59
2880,216.566,0.531505,37.1268,0.0146723,0.289571,16.8875,1,23.156,2,0.111475,4183.41
2881,91.989,0.777109,31.4514,0.480552,0.261816,5.65153,1,20.0683,1,0.139364,5286.14
2882,134.745,0.403051,28.4569,0.0226696,0.509529,15.4096,0,23.7546,2,0.21707,3761.82
2883,55.487,0.190024,25.7852,0.124055,0.43219,16.7857,1,16.5174,0,0.0904038,4355.11
2884,210.404,0.140183,29.4916,0.48061,0.335164,25.6045,0,16.0567,0,0.166708,4286.15
2885,83.1046,0.531907,34.9814,0.102493,0.461576,17.0872,1,12.908,1,0.232691,3360.05
2886,60.6012,0.318897,25.1943,0.3017,0.502678,45.9522,0,6.23755,2,0.24754,4043.15
2887,142.335,0.440785,21.0412,0.271307,0.320806,3.80595,1,23.7727,2,0.167061,299.827
2888,42.9049,0.0576914,31.9019,0.170481,0.407373,37.6156,0,18.1487,0,0.164173,4084.43
2889,70.0238,0.453018,29.9704,0.336015,0.379912,46.9175,0,15.4685,1,0.217924,4358.75
2890,125.049,0.153536,38.4926,0.428761,0.203166,32.6756,1,12.1943,1,0.157504,5056.98
2891,79.9817,0.727419,34.1971,0.211684,0.258892,33.8842,1,22.696,0,0.105944,5041.73
2892,25.6762,0.391155,28.111,0.177998,0.348839,41.2662,0,16.3931,2,0.0740612,5070.29
2893,133.821,0.169934,27.5961,0.0997895,0.444523,4.01048,0,16.4603,2,0.0626604,3817.75
2894,37.1689,0.259021,39.9305,0.401248,0.409912,38.1078,1,19.6056,0,0.24734,3614.94
2895,152.41,0.907801,37.093,0.230348,0.564333,40.9109,0,8.68214,1,0.0578976,3293.93
2896,70.9587,0.470676,35.356,0.346893,0.573706,22.8819,1,18.6914,0,0.186678,3421.19
2897,225.671,0.811787,36.9572,0.279882,0.522291,26.4094,0,5.55857,2,0.145765,3302.04
2898,128.336,0.592845,26.7086,0.0312938,0.331651,34.9262,1,20.1679,1,0.0880868,4897.75
2899,3.46604,0.480745,25.5646,0.00575376,0.460059,21.9423,0,10.1816,2,0.11525,4571.3
2900,49.683,0.766898,36.0311,0.471018,0.206924,35.976,1,22.4233,0,0.208097,5457.35
2901,174.992,0.296665,32.4561,0.0486723,0.319692,10.708,0,12.504,1,0.241848,4316.73
2902,120.009,0.13708,37.1739,0.314401,0.312532,29.5633,1,17.0231,1,0.221284,4208.89
2903,148.658,0.210683,28.3779,0.391495,0.249263,13.3624,0,18.4644,2,0.23745,5683.81
2904,27.4129,0.796627,29.9182,0.266127,0.446462,5.08379,1,16.0201,0,0.0779639,3996.8
2905,3.3863,0.00186411,38.419,0.445928,0.542478,32.1641,1,5.60055,2,0.160735,3071.05
2906,28.9907,0.253325,25.2088,0.177933,0.585635,23.6746,0,22.554,0,0.0990095,4298.02
2907,56.8304,0.554987,29.2704,0.0986768,0.474235,20.3438,1,5.18056,1,0.124542,3707.15
2908,175.536,0.460204,36.6481,0.400302,0.437046,24.2578,0,15.2049,1,0.182478,3290.16
2909,238.657,0.655308,27.5807,0.321455,0.220857,46.3386,0,21.7659,0,0.142951,5899.31
2910,106.262,0.912449,31.9618,0.0366086,0.524711,43.2619,1,14.3411,2,0.245363,3559.86
2911,219.004,0.946774,39.4291,0.0887248,0.249224,21.632,1,6.15056,0,0.131542,4340.5
2912,162.723,0.0756894,36.3074,0.485266,0.440886,5.73478,0,18.2857,1,0.179375,3294.64
2913,226.491,0.805859,34.7441,0.307559,0.441151,12.0641,1,5.68936,2,0.233051,3490.64
2914,150.748,0.678575,33.8702,0.0228407,0.564814,33.0307,0,12.8375,0,0.204909,3389.58
2915,180.934,0.634345,21.7544,0.148275,0.590023,44.7858,1,13.6246,2,0.194304,4663.66
2916,129.587,0.854491,20.7622,0.0955022,0.379642,12.6275,0,7.6596,1,0.101295,5185.09
2917,51.5185,0.445007,38.4895,0.22583,0.572134,46.9067,0,14.1666,1,0.131997,3265.46
2918,9.96195,0.748352,28.5797,0.313743,0.234179,16.4408,1,6.10385,0,0.193237,6668.26
2919,180.916,0.878514,34.3114,0.0843864,0.320937,40.0496,1,19.7708,2,0.204506,4145.44
2920,9.11646,0.562779,32.5496,0.355852,0.27282,40.0129,0,15.8229,1,0.242898,5349.89
2921,38.6442,0.265555,27.0405,0.307372,0.221625,9.75873,1,9.60973,2,0.177885,23014.3
2922,192.906,0.928225,35.8467,0.356726,0.31497,46.7256,0,17.2538,0,0.231635,4064.55
2923,75.8743,0.568518,22.1435,0.143238,0.575129,27.4474,0,24.2699,0,0.0757417,4673.61
2924,18.9318,0.144061,29.8805,0.232418,0.35974,7.875,1,23.2542,1,0.135172,4774.39
2925,202.491,0.370825,29.9944,0.0975526,0.542953,5.76176,0,7.04731,2,0.202269,10304.9
2926,206.915,0.536618,35.1191,0.0714249,0.391259,28.1103,1,7.24209,1,0.19037,3437.04
2927,79.2173,0.0743663,35.6555,0.414974,0.271532,22.6784,0,13.1539,0,0.108062,4788.11
2928,174.672,0.752388,29.8284,0.295037,0.340593,16.3483,1,9.78084,2,0.169475,4330.53
2929,2.43466,0.756061,35.7155,0.282725,0.369365,13.9987,1,17.8582,1,0.132812,4249.6
2930,71.1008,0.0126568,39.3631,0.414946,0.314074,43.6083,0,22.6581,2,0.101147,4203.57
2931,194.102,0.986173,30.9099,0.339974,0.415961,27.3467,1,5.59206,0,0.205004,3567.08
2932,18.0642,0.363019,20.1147,0.420387,0.552839,22.3763,0,7.86113,2,0.212,5136.56
2933,125.719,0.291069,24.2687,0.153132,0.238663,35.9407,1,23.8387,1,0.0541232,6814.2
2934,230.428,0.0487652,25.5111,0.118517,0.376946,30.2916,0,5.65775,0,0.167023,4155.75
2935,46.82,0.396957,39.8209,0.33661,0.268993,28.3455,0,19.1922,1,0.166198,4585.71
2936,12.286,0.351321,33.309,0.278301,0.496357,26.7006,1,17.3504,0,0.210113,3484.9
2937,7.78732,0.528967,25.7461,0.368367,0.443464,3.85666,1,21.5036,2,0.17866,187306
2938,156.222,0.352762,28.4707,0.0705735,0.399476,3.06255,0,20.0105,1,0.0938985,10780.2
2939,96.6515,0.924922,32.8145,0.489648,0.344946,15.3438,0,16.9918,2,0.22585,4322
2940,168.921,0.385629,34.7895,0.256613,0.59357,12.3347,1,17.8967,0,0.159069,3396.19
2941,151.365,0.97609,29.3071,0.0344407,0.212313,4.6853,1,9.17788,2,0.194438,171134
2942,98.912,0.0904743,20.9883,0.319118,0.56146,16.3528,0,21.0514,0,0.086472,4968.13
2943,33.3804,0.337176,37.1101,0.0858206,0.242129,10.6915,1,15.8192,1,0.0762521,5010.64
2944,213.15,0.147989,32.9924,0.301976,0.565217,4.42146,0,13.5716,1,0.240321,87656.3
2945,22.6073,0.556799,24.8449,0.148699,0.285401,11.1526,1,18.1518,2,0.147961,6495.55
2946,105.297,0.268939,23.7094,0.0934355,0.40216,7.82981,0,19.2001,0,0.0699486,4630.86
2947,75.2967,0.632322,29.3516,0.331572,0.494482,13.6931,1,10.532,0,0.0788756,3680.01
2948,56.3244,0.504222,37.321,0.252961,0.211093,34.0593,0,6.00794,2,0.106291,5260.55
2949,234.497,0.883701,26.7819,0.459503,0.462207,20.1519,0,10.9942,1,0.0659705,4104.09
2950,169.236,0.0835694,24.8439,0.417314,0.533284,31.8398,1,11.8491,0,0.129506,4298.4
2951,104.241,0.329364,21.2856,0.457908,0.298507,25.3065,1,6.18069,1,0.21641,7200.04
2952,80.5492,0.556568,20.4435,0.484818,0.222979,8.92317,0,8.24596,2,0.166812,253.329
2953,41.9203,0.598169,36.0673,0.297032,0.495179,5.56262,0,13.3152,1,0.20467,3249.49
2954,246.101,0.788504,24.1979,0.389791,0.32889,44.6472,1,10.3943,0,0.0737785,4768.23
2955,142.397,0.551754,25.4346,0.368767,0.527179,23.376,0,8.66629,2,0.154064,4244.24
2956,96.2135,0.606773,28.1471,0.0330997,0.305239,25.1722,1,12.1285,2,0.0650088,5111.68
2957,146.44,0.855646,29.7765,0.0210762,0.268054,13.5854,0,14.8919,0,0.138532,5105.24
2958,33.9337,0.320045,37.8292,0.26036,0.424724,24.3474,1,5.45263,1,0.21479,3631.64
