Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
80	32.8785	0.749682	36.4153	0.502788	0	12.3713	2	0.0634034	0
81	194.624	0.51853	31.0348	0.202597	1	24.2802	1	0.141421	499.665
82	3.25608	0.902807	39.7928	0.48262	0	12.1387	1	0.112401	0
83	221.548	0.0564793	36.729	0.426183	0	22.9968	2	0.128863	0
84	18.9512	0.608803	20.7313	0.362065	1	20.162	0	0.212022	1176.64
85	138.545	0.969056	35.8164	0.290052	1	20.1837	1	0.114213	0
86	220.387	0.15503	29.2132	0.580764	0	10.9646	2	0.068431	0
87	8.85047	0.466811	24.0433	0.255489	0	23.3076	0	0.100554	1834.56
88	169.261	0.808794	33.2753	0.48996	1	8.16813	0	0.170769	0
89	134.118	0.71508	39.3534	0.4145	0	9.49809	2	0.166627	0
90	73.092	0.502685	36.5529	0.449691	1	20.1584	1	0.0613285	0
91	246.996	0.980955	31.5517	0.341689	1	20.1553	1	0.0545762	0
92	94.1809	0.959981	23.6095	0.446552	0	16.4968	0	0.0535235	153807
93	39.9344	0.870281	37.9552	0.502385	1	10.3835	2	0.0663361	0
94	159.113	0.854187	27.0055	0.478567	0	19.9223	1	0.104769	0
95	248.396	0.596568	21.4545	0.349856	0	18.0753	0	0.15715	139.488
96	17.049	0.788246	23.7074	0.263635	1	19.314	2	0.109045	10138.8
97	93.8726	0.30651	26.8152	0.386261	0	6.19688	1	0.193546	166321
98	22.2779	0.479397	31.524	0.540741	1	17.1204	2	0.226869	0
99	234.151	0.0276781	30.8508	0.232729	1	11.1438	0	0.233826	54446.5
100	44.1451	0.272713	33.5929	0.578117	0	18.5338	1	0.186878	0
101	116.833	0.293577	31.9503	0.248587	0	24.4545	0	0.113646	264.286
102	71.2063	0.251786	25.8344	0.48872	1	22.6966	2	0.144066	0.325265
103	245.719	0.0525009	20.04	0.588335	0	7.05112	0	0.145859	176299
104	183.417	0.0650423	27.2142	0.255606	1	23.9409	1	0.198236	5480.66
105	36.2551	0.498235	36.2058	0.585602	1	17.414	2	0.156	0
106	231.295	0.428451	29.2426	0.409445	0	14.8629	0	0.113321	0
107	28.8812	0.588841	28.0529	0.250772	0	6.99176	2	0.157553	5152.66
108	190.005	0.289311	36.7965	0.212772	1	22.7593	1	0.185855	89.4844
109	65.1636	0.484508	34.503	0.573041	0	13.9601	1	0.23844	0
110	1.80621	0.463383	37.4236	0.361974	1	24.8933	2	0.0576355	0
111	48.6177	0.415586	25.4035	0.429575	1	6.94864	0	0.185826	0
112	68.4241	0.302984	39.0553	0.232012	0	17.3023	2	0.0883446	79.1882
113	232.538	0.313044	28.093	0.566936	1	8.3384	1	0.214557	139047
114	83.9288	0.696325	25.1152	0.3278	0	11.5023	0	0.101532	401.275
115	198.683	0.107115	34.7264	0.248652	1	17.2475	1	0.0515327	15.9829
116	170.014	0.175896	35.6892	0.438949	0	9.64297	0	0.160281	0
117	33.9294	0.606942	24.3181	0.417843	1	24.9355	2	0.147629	72.702
118	82.5455	0.378879	22.3075	0.388457	0	17.7413	0	0.204601	225.885
119	50.4221	0.399827	37.4047	0.37273	1	6.13805	1	0.161776	153383
120	66.6911	0.579512	23.8946	0.468122	0	15.6752	2	0.197787	9855.06
121	220.435	0.429825	36.0067	0.541775	1	19.4952	0	0.119981	0
122	60.4909	0.320901	22.8281	0.450635	0	12.6353	1	0.236792	109593
123	73.9773	0.444788	29.7919	0.563493	0	20.714	2	0.219523	0
124	85.4331	0.940887	33.5409	0.492586	1	24.6275	0	0.0979031	0
125	103.885	0.860029	24.0412	0.220137	1	15.4122	2	0.226927	170007
