Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
2464	150.386	0.26069	24.703	0.350778	0	18.0249	0	0.160913	65.1953
2465	167.646	0.68836	28.1274	0.426543	1	10.2093	1	0.0661761	5928.19
2466	4.86148	0.014495	34.5275	0.411931	0	18.2724	2	0.100414	0
2467	75.8224	0.603944	35.2593	0.387291	0	7.35584	2	0.216155	6474.16
2468	48.0994	0.499714	23.4041	0.347093	1	15.3312	1	0.166057	34312.8
2469	177.457	0.442475	28.5015	0.41181	0	16.6639	0	0.154747	0
2470	100.303	0.186419	25.9848	0.508216	1	12.7432	0	0.11562	6.05219
2471	128.159	0.958843	36.7015	0.392262	0	15.2987	2	0.181219	0
2472	176.11	0.861677	24.3668	0.201482	1	19.1452	1	0.0632315	12733.4
2473	137.224	0.964142	27.993	0.355462	0	7.30276	1	0.118255	168616
2474	167.587	0.483773	27.8468	0.532291	1	7.18507	2	0.150993	6838.49
2475	6.231	0.354032	31.5362	0.443215	0	20.9645	0	0.094481	0
2476	109.3	0.181689	33.0872	0.490202	1	6.06793	0	0.234977	0
2477	122.759	0.487401	36.8886	0.33523	0	17.4464	1	0.15156	0
2478	68.9102	0.888481	29.585	0.401722	1	12.4107	2	0.20718	49181.7
2479	225.471	0.679674	30.7699	0.307635	0	15.1553	0	0.141384	0
2480	76.0906	0.0459933	24.6018	0.578483	1	7.45585	1	0.176279	163136
2481	211.127	0.106926	37.7117	0.563354	1	7.67357	2	0.0947207	4432.07
2482	91.3828	0.46054	31.0116	0.205612	0	21.6553	1	0.132018	3579.13
2483	106.91	0.247932	38.2415	0.354044	1	8.04686	0	0.0730501	0
2484	1.53514	0.465575	32.865	0.40025	0	22.1886	2	0.0915413	0
2485	187.155	0.814658	38.5264	0.335021	0	18.1428	0	0.135872	0
2486	24.1878	0.405911	32.2491	0.377484	1	7.22561	2	0.0574568	4234.12
2487	168.224	0.683017	30.5759	0.269625	0	14.3061	1	0.0934815	3634.47
2488	113.111	0.510388	25.4183	0.398025	1	22.8416	2	0.134316	0
2489	214.073	0.674347	22.6653	0.429254	0	13.8817	0	0.207836	155.562
2490	231.548	0.544947	25.2264	0.338789	1	8.15681	1	0.183978	146909
2491	157.157	0.463845	25.4553	0.582468	1	19.9461	0	0.185916	0.494871
2492	53.5048	0.182851	20.3296	0.50013	0	13.4913	2	0.243411	188388
2493	22.5098	0.85313	32.3793	0.57427	1	11.6542	1	0.202471	0
2494	136.796	0.0148066	30.0338	0.503669	0	14.0205	1	0.0916369	0
2495	209.768	0.64394	32.365	0.463218	1	8.44705	0	0.209456	0
2496	232.128	0.517761	30.153	0.405231	0	15.6844	2	0.138093	0
2497	98.7675	0.725996	31.4259	0.305687	1	19.31	1	0.179516	45.6722
2498	144.463	0.0727275	27.7466	0.314948	0	19.1332	2	0.18295	90.642
2499	127.73	0.478274	20.5874	0.320553	0	18.3043	0	0.176191	945.523
2500	135.552	0.895172	27.3264	0.267199	1	18.1607	1	0.220984	13201.4
2501	95.7003	0.0666128	29.8559	0.217379	1	15.8076	2	0.0886993	4138.83
2502	98.6372	0.528102	20.7347	0.26158	0	9.8775	0	0.168999	2145.8
2503	37.5639	0.755696	30.1936	0.263143	1	13.4031	2	0.156838	4205.22
2504	145.145	0.633926	34.0488	0.563251	0	10.4681	1	0.196965	40420.1
2505	48.2823	0.228093	25.6675	0.252519	1	15.1424	0	0.207205	1240.47
2506	124.558	0.362017	36.6532	0.212729	0	23.8787	2	0.21292	180.968
2507	196.823	0.306635	22.3795	0.477775	0	6.90238	1	0.17063	171067
2508	14.6204	0.452265	36.3466	0.541689	1	13.3582	0	0.0674268	0
2509	111.876	0.91664	20.9059	0.274856	0	19.6872	2	0.249105	207468
2510	76.9665	0.496973	31.7393	0.480558	1	18.2068	1	0.11643	0
2511	24.8059	0.370974	33.0374	0.265835	1	23.7957	0	0.187293	298.005
2512	125.434	0.903189	30.2891	0.37092	0	8.49028	2	0.110777	121449
2513	231.676	0.821228	35.5052	0.476954	0	8.64575	1	0.163311	48566.2
2514	50.9509	0.0243038	39.949	0.471366	1	18.3927	0	0.0536161	0
2515	203.872	0.113737	37.8113	0.231435	0	10.8026	0	0.109346	0.436939
2516	115.681	0.589464	36.8931	0.448848	1	14.4687	2	0.195281	0
2517	205	0.951324	30.5407	0.50817	1	23.1225	1	0.229831	0
2518	215.058	0.629649	32.6258	0.227065	0	20.9177	0	0.113806	168.898
2519	83.2944	0.300837	21.8912	0.540113	1	7.04811	1	0.0901642	177275
2520	68.6837	0.582871	23.7506	0.453342	0	10.3019	2	0.194881	120324
2521	31.0611	0.325856	29.7498	0.243942	0	17.3846	0	0.218538	742.702
2522	39.7589	0.358415	26.5938	0.454649	1	12.5789	1	0.147863	0
2523	190.506	0.856614	39.4032	0.395983	0	15.1576	2	0.138561	0
2524	187.125	0.188305	24.3273	0.37661	1	17.7369	1	0.199786	0
2525	66.7334	0.0348888	35.0356	0.495558	1	22.7335	0	0.0886265	0
2526	192.814	0.844756	27.3788	0.477979	0	14.471	2	0.221962	0
2527	142.337	0.397477	20.6595	0.397014	0	17.0003	0	0.0730236	3273.25
2528	9.47545	0.729495	36.498	0.542187	1	24.6391	2	0.172116	0
2529	222.345	0.377883	23.6941	0.361372	0	10.4539	1	0.169969	94516.3
2530	188.721	0.192744	25.1386	0.341046	1	19.9516	0	0.118009	17.8281
2531	201.667	0.0479265	24.2823	0.360219	1	17.7233	2	0.203118	0
2532	201.313	0.98937	25.7029	0.360779	0	14.0306	1	0.184632	180592
2533	67.4007	0.204968	39.7598	0.312628	0	16.666	2	0.100861	0
2534	191.602	0.386244	29.623	0.416855	1	24.2168	0	0.212631	0
2535	203.049	0.876365	31.1128	0.367227	0	16.6254	1	0.137476	0
2536	15.9938	0.499055	35.0256	0.334486	1	18.5299	0	0.216428	0
2537	81.3627	0.081838	37.745	0.207935	1	24.7297	1	0.103558	216.916
2538	40.4236	0.639277	32.9893	0.533177	0	15.1272	2	0.0662894	0
2539	209.513	0.0795703	28.9756	0.334434	1	6.67034	2	0.168521	5729.88
2540	103.802	0.157175	32.8238	0.405104	0	8.0281	1	0.13426	37216
2541	47.9426	0.683468	33.1287	0.306191	0	8.91047	0	0.0558502	322.087
2542	55.0871	0.904638	29.7767	0.468833	1	12.3527	0	0.17625	0
2543	89.662	0.1791	31.5	0.406786	0	12.8972	1	0.172776	0
2544	170.84	0.0608079	37.8335	0.33718	1	6.31475	2	0.180248	6136.5
2545	111.982	0.227504	35.4897	0.231277	1	16.9064	0	0.148928	163.907
2546	125.655	0.668347	21.0783	0.39919	0	14.5409	1	0.231989	144141
2547	169.488	0.553201	36.7584	0.578586	1	22.1838	2	0.213479	0
2548	229.379	0.826296	28.564	0.225757	0	8.19667	1	0.0989461	9172.46
2549	200.316	0.92724	24.9005	0.268138	0	12.5511	0	0.225041	688.178
2550	112.771	0.801526	26.7542	0.277247	1	8.75475	2	0.169618	139796
2551	127.41	0.0578951	20.0171	0.368351	0	13.9331	0	0.14316	4843.32
2552	116.612	0.52343	21.6488	0.568706	1	5.86302	2	0.155456	198040
2553	21.7196	0.0734421	37.7169	0.312503	1	9.98915	1	0.185558	35600.6
2554	164.479	0.776013	26.2799	0.568879	0	14.4755	0	0.114997	0
2555	229.797	0.501643	25.8574	0.366511	1	22.207	1	0.179423	0
2556	152.282	0.639542	26.1257	0.284896	0	15.1584	2	0.127367	6648.82
2557	161.342	0.855043	31.2569	0.374644	1	9.29178	0	0.219089	0
2558	74.1351	0.332874	30.7763	0.332259	0	24.3492	1	0.246084	334.034
2559	29.5555	0.291575	22.1472	0.445497	1	8.80995	2	0.113214	159611
2560	192.522	0.868932	23.3192	0.278324	0	7.67529	0	0.0834537	169419
2561	67.525	0.695043	35.9235	0.433693	1	21.125	2	0.111151	0
2562	68.5923	0.548469	28.731	0.501707	0	15.0785	1	0.0530566	0
2563	107.512	0.799587	22.9232	0.422754	0	13.8764	1	0.226374	91159.3
2564	96.8552	0.555423	32.7064	0.38549	1	19.5915	0	0.229152	0
2565	32.47	0.966227	20.3158	0.296437	1	5.67237	2	0.155156	218337
2566	239.608	0.737258	22.4487	0.236397	0	18.2483	0	0.11976	1182.82
2567	125.595	0.711665	30.4391	0.294607	1	19.9448	1	0.220885	229.284
2568	170.294	0.540695	29.6609	0.328292	0	6.94281	2	0.0873752	8843.2
2569	112.187	0.953799	32.0438	0.557207	0	24.3899	0	0.103887	0
2570	56.9075	0.933758	34.9274	0.427251	1	10.1717	1	0.0778448	0
2571	89.7851	0.301946	35.8948	0.392472	0	18.5211	2	0.127353	0
2572	233.215	0.137389	30.1823	0.29379	1	9.97542	0	0.0899416	0
2573	138.032	0.341039	23.9469	0.468718	0	14.1292	1	0.141148	12800.5
2574	57.727	0.24562	28.1052	0.39759	1	23.2529	2	0.169181	0
2575	72.724	0.0318007	30.7703	0.319878	0	9.02528	0	0.149881	41062.8
2576	158.462	0.495384	34.9402	0.238254	1	8.32458	1	0.228566	137138
2577	65.4801	0.46967	32.9196	0.457875	0	16.7813	2	0.225446	0
2578	54.8463	0.881069	20.237	0.512748	1	7.51609	1	0.0893185	207121
2579	94.3038	0.441084	26.618	0.34788	1	18.8762	2	0.142337	104.125
2580	85.7562	0.125221	28.5299	0.470667	0	5.21649	0	0.117378	100875
2581	79.161	0.268777	23.1432	0.292109	1	13.84	0	0.147611	1106.65
2582	191.51	0.5953	28.4806	0.457318	0	10.1818	2	0.100011	6023.76
2583	196.104	0.307314	36.903	0.578064	1	13.1357	1	0.0933927	0
2584	138.62	0.474474	26.2211	0.442103	0	20.4467	0	0.228077	0
2585	155.288	0.508441	36.8123	0.205655	0	24.0527	1	0.245425	1127.13
2586	7.24967	0.899371	37.7752	0.203326	1	8.08849	2	0.0760803	2497.76
2587	119.456	0.732138	38.7101	0.335375	0	15.545	2	0.114345	0
2588	88.2525	0.820171	38.9569	0.207372	1	16.1377	0	0.0651638	155.554
2589	249.94	0.331399	29.8437	0.238362	0	20.764	1	0.0879722	201.915
2590	219.452	0.431036	31.6037	0.533867	1	7.95442	1	0.135911	49866.3
2591	175.38	0.1973	35.0497	0.319569	0	14.6504	2	0.229655	0
2592	239.294	0.55352	23.4021	0.416484	1	20.6156	0	0.149379	109.723
2593	27.3556	0.619378	33.457	0.395024	0	20.352	2	0.093071	0
2594	68.0199	0.079174	24.6235	0.337615	1	6.87013	0	0.245378	86067
2595	195.366	0.403003	32.332	0.529137	1	18.2829	1	0.109639	0
2596	225.394	0.898686	39.3636	0.35274	0	7.46131	0	0.175478	0
2597	175.565	0.875703	23.0073	0.511562	0	22.1478	1	0.127475	105.152
2598	101.236	0.820066	38.2858	0.540763	1	10.9624	2	0.153485	0
2599	197.197	0.088344	29.6169	0.222851	1	19.7896	1	0.0582406	454.286
2600	208.637	0.585369	33.713	0.318373	0	7.6177	0	0.104684	0
2601	233.617	0.0857303	25.6649	0.367931	1	23.6504	2	0.102358	0
2602	127.294	0.0743627	39.2416	0.470934	0	8.34059	1	0.153171	35197.5
2603	37.8254	0.515899	34.3376	0.366096	1	7.59666	2	0.18485	3875.03
2604	96.7334	0.431155	37.668	0.202526	0	24.4256	0	0.0655579	224.819
2605	33.1031	0.227563	30.1946	0.31803	0	21.0114	2	0.18262	189.497
2606	38.1154	0.776095	22.4648	0.434989	1	11.9459	1	0.126409	142397
2607	93.3198	0.719959	37.1315	0.523628	0	18.8742	0	0.237506	0
2608	197.086	0.847377	32.4147	0.269645	1	5.29482	0	0.0878607	84378.6
2609	233.884	0.624039	20.2641	0.239599	1	22.3093	1	0.228474	204873
2610	177.568	0.453903	20.1734	0.508143	0	18.6505	2	0.10857	191471
2611	68.3777	0.267788	22.9074	0.474871	0	7.77953	2	0.0562063	123852
2612	0.476517	0.373793	23.0654	0.441676	1	20.8699	0	0.205413	161.872
2613	197.07	0.173367	22.2321	0.43772	1	20.3571	1	0.0932788	186.406
2614	192.454	0.343784	23.3923	0.219696	0	8.67477	2	0.143095	120941
2615	79.0417	0.226846	22.937	0.595812	1	14.041	0	0.242818	103.74
2616	192.936	0.0652857	21.561	0.41772	0	16.9672	1	0.0926517	63286.2
2617	70.6021	0.98306	31.1207	0.364116	1	11.7653	0	0.0850627	134816
2618	81.5262	0.958807	39.2558	0.331828	0	9.00736	1	0.0585042	0
2619	116.508	0.261901	31.1793	0.429821	0	16.7636	2	0.197605	0
2620	170.772	0.256975	24.5608	0.552083	1	12.4976	0	0.0624254	3443.71
2621	224.197	0.912755	33.2501	0.506176	0	14.5356	1	0.164836	0
2622	54.5773	0.594289	38.9394	0.238623	1	12.7179	2	0.248472	2425.97
2623	149.102	0.936894	33.5174	0.286884	0	21.5427	0	0.239264	0
2624	109.661	0.984313	35.6228	0.401202	1	12.4128	2	0.054555	112305
2625	206.649	0.169671	22.3223	0.331857	0	8.04852	1	0.0822538	134828
2626	26.8378	0.290956	37.0626	0.247186	1	5.91978	1	0.0884475	14386.2
2627	196.703	0.246574	26.2354	0.377984	0	5.38678	0	0.115673	69918.5
2628	71.845	0.488808	37.2732	0.373138	1	11.9865	2	0.0569115	0
2629	87.9675	0.713346	26.4497	0.561447	0	14.2018	0	0.132682	0
2630	67.39	0.867474	26.2901	0.469576	1	17.9258	1	0.144123	0
2631	124.501	0.958971	21.2745	0.313878	0	17.9103	2	0.0562509	202884
2632	88.6005	0.162039	39.7448	0.227913	1	24.0691	1	0.0712161	50.6735
2633	184.075	0.173337	28.7722	0.431434	0	24.7742	2	0.215512	0
2634	247.71	0.223981	38.9028	0.548762	1	8.81715	0	0.219408	0
2635	134.704	0.298909	33.6332	0.566893	0	13.7848	1	0.0602301	0
2636	34.4333	0.820408	29.7435	0.3536	1	23.3864	0	0.242128	53.3111
2637	110.669	0.665644	31.3521	0.372366	1	13.9591	2	0.114091	0
2638	41.6162	0.828883	35.2049	0.420722	0	9.94956	0	0.201205	0
2639	120.697	0.547672	32.3478	0.467889	0	16.279	2	0.237401	0
2640	133.132	0.181961	33.7789	0.428907	1	14.7546	1	0.177995	0
2641	169.475	0.212925	34.1506	0.384462	1	18.3591	1	0.145697	0
2642	160.177	0.337912	28.8439	0.226218	0	16.5319	2	0.204124	4787.99
2643	79.0737	0.912606	28.3672	0.456363	1	24.2847	0	0.23821	0
2644	77.8958	0.23889	39.1292	0.327207	0	24.2494	0	0.234765	0
2645	228.527	0.809943	33.8411	0.499457	0	8.39337	2	0.105397	4827.38
2646	151.51	0.765335	38.4772	0.487285	1	10.0819	1	0.0653195	0
2647	243.406	0.473862	20.6081	0.220003	1	13.033	0	0.0639704	97190.9
2648	133.578	0.874639	35.4979	0.539295	0	14.5384	2	0.147212	0
2649	76.1153	0.771198	39.4844	0.33231	0	10.3603	1	0.180019	0
2650	165.667	0.729534	23.7765	0.517418	1	6.91207	2	0.0799934	176687
2651	195.124	0.65941	36.5032	0.33602	1	6.22196	0	0.0601528	2003.07
2652	164.136	0.575899	31.521	0.533301	0	22.3543	1	0.246007	0
2653	138.482	0.451224	34.5795	0.240973	0	19.7178	0	0.109444	119.264
2654	197.973	0.446342	24.3937	0.424198	1	17.2647	1	0.157468	64.3808
2655	38.4276	0.286034	26.587	0.335764	1	10.1304	2	0.0906224	6403.23
2656	232.371	0.595422	20.8104	0.362861	0	11.1979	2	0.176553	187770
2657	194.598	0.0621118	28.9282	0.553989	0	13.5468	1	0.0991329	0
2658	115.74	0.454325	28.2173	0.564165	1	16.2409	0	0.212248	0
2659	58.4144	0.44783	39.1205	0.538768	1	12.0745	0	0.06647	0
2660	7.32346	0.352975	26.5106	0.484964	0	18.679	2	0.155898	0
2661	111.553	0.794805	39.0749	0.311498	0	8.27983	1	0.0576934	2812.15
2662	71.35	0.947061	24.9927	0.259317	1	20.1527	2	0.23223	178126
2663	115.109	0.70405	36.8012	0.468961	1	15.9276	1	0.191171	0
2664	186.811	0.26697	20.6181	0.458767	0	23.1706	0	0.189057	313.485
2665	207.267	0.109987	32.576	0.599723	0	22.9008	0	0.20616	0
2666	144.883	0.0447017	31.8661	0.436347	1	9.17972	1	0.0851847	4777.38
2667	98.9933	0.134826	21.6833	0.390713	1	21.2716	2	0.0609831	199.241
2668	73.9082	0.310058	36.8489	0.545303	0	16.9972	1	0.0620881	0
2669	73.1635	0.0873436	20.9127	0.526532	0	18.409	2	0.236654	121673
2670	117.501	0.375145	25.3343	0.20376	1	5.94169	0	0.195753	1720.75
2671	217.525	0.248492	20.8151	0.538421	1	14.812	1	0.191156	153751
2672	108.154	0.845534	20.9834	0.461766	0	9.34357	2	0.174212	197731
2673	89.8133	0.167905	22.831	0.455527	1	15.0767	0	0.167144	75.4253
2674	87.45	0.203178	34.3521	0.335541	0	18.2228	1	0.0628017	0
2675	168.419	0.0715187	26.1662	0.423794	1	14.9237	2	0.242683	6966.42
2676	149.023	0.906943	23.4969	0.250328	0	7.5363	0	0.0669462	180846
2677	227.45	0.539909	35.4512	0.298261	1	8.7184	1	0.11385	3663
2678	54.0277	0.821101	37.7834	0.339942	0	5.41306	2	0.116681	68063.6
2679	204.617	0.328751	28.4937	0.251759	0	15.3657	0	0.100091	301.009
2680	91.3609	0.446661	37.075	0.590961	1	6.60286	2	0.0802128	4580.88
2681	90.3446	0.234317	34.9902	0.507348	1	14.9146	1	0.222663	0
2682	30.805	0.509186	37.6596	0.20389	0	20.8863	0	0.203053	325.135
2683	213.08	0.270212	20.3492	0.403152	0	14.5311	1	0.178672	179057
2684	47.4324	0.0992163	34.5687	0.458513	1	5.98953	2	0.109125	7963.96
2685	180.002	0.193552	34.36	0.493967	1	17.2541	0	0.158152	0
2686	249.914	0.350734	26.2086	0.217856	0	5.61883	0	0.15219	2581.98
2687	165.176	0.956155	30.8249	0.267278	0	11.6239	2	0.0866708	134039
2688	204.98	0.218803	32.6506	0.493826	1	19.3373	1	0.152491	0
2689	202.073	0.579887	25.3652	0.368381	0	18.1313	2	0.110506	0
2690	81.1205	0.840596	27.3736	0.269197	1	6.57554	1	0.143857	170598
2691	69.997	0.747402	23.4507	0.478962	0	5.79747	0	0.0809706	167585
2692	126.296	0.251363	34.3704	0.44666	1	12.3987	0	0.0856731	0
2693	212.19	0.955751	32.4973	0.264841	0	5.37255	2	0.118904	159258
2694	154.377	0.592797	24.0814	0.251298	1	17.8565	1	0.152541	10315.5
2695	127.456	0.868112	25.9599	0.292498	0	12.9275	0	0.157084	438.477
2696	103.785	0.83455	39.9769	0.451062	1	19.0977	2	0.178329	0
2697	186.362	0.101098	22.8251	0.220363	1	20.2471	1	0.108717	12663.9
2698	232.687	0.346584	24.9575	0.549171	0	23.2441	1	0.117148	6.16141
2699	75.276	0.829742	37.9132	0.314636	1	7.59044	2	0.0890765	3122.6
2700	214.3	0.36429	32.8143	0.392807	0	15.4773	0	0.122245	0
2701	90.2281	0.18538	37.7132	0.212969	0	8.82087	1	0.0735885	2568.9
2702	104.983	0.717971	28.0896	0.554997	1	11.2244	0	0.0616888	2264.99
2703	185.465	0.805962	34.1897	0.200234	0	8.52701	2	0.184707	3306.77
2704	165.135	0.286418	24.4402	0.223022	1	6.96228	1	0.194077	185911
2705	86.9923	0.414783	20.136	0.587588	1	16.452	0	0.0663852	94902.9
2706	22.9114	0.81002	32.82	0.430521	0	5.67772	2	0.108879	103300
2707	249.211	0.260826	22.6847	0.492081	0	11.3556	0	0.188646	119.068
2708	15.5028	0.635402	33.9254	0.486965	1	8.76218	1	0.105979	3908.82
2709	204.332	0.32377	32.9004	0.267433	0	13.2783	2	0.215556	3615.39
2710	51.9797	0.713478	39.1163	0.327339	1	5.87764	0	0.108605	0
2711	48.7892	0.911095	37.7433	0.431035	0	17.6729	1	0.165592	0
2712	170.703	0.242675	37.301	0.279524	1	8.24368	2	0.0868831	3169.9
2713	208.699	0.260422	23.4933	0.53519	0	24.0784	0	0.230241	64.2041
2714	8.7321	0.771786	39.0662	0.389785	1	21.1707	1	0.105368	0
2715	238.458	0.755891	23.2117	0.420125	1	9.24451	2	0.113824	171579
2716	149.095	0.0194995	27.4957	0.518656	0	6.51325	1	0.0622556	8162.7
2717	49.3965	0.127112	24.2314	0.431154	1	8.62563	0	0.0723761	9638.84
2718	37.6492	0.507398	29.4626	0.356815	0	6.44921	2	0.105115	5049.18
2719	52.6838	0.645777	24.8809	0.432758	0	16.7097	1	0.174059	0
2720	47.5412	0.0618467	26.8993	0.467599	1	19.0211	2	0.134216	0
2721	63.8279	0.0769816	33.4682	0.369921	0	10.7829	0	0.165474	86.4669
2722	89.1419	0.643151	30.7441	0.464638	1	7.17105	1	0.10923	42768.5
2723	133.334	0.115516	21.5682	0.321649	1	15.4874	2	0.170857	99714.5
2724	42.5676	0.460456	38.9104	0.34954	0	9.47552	0	0.122359	0
2725	27.905	0.754639	29.0258	0.542315	1	9.64087	1	0.0604308	5618.11
2726	137.024	0.256831	21.4519	0.456772	0	20.1416	2	0.0887689	247.757
2727	161.808	0.147786	20.7656	0.412647	0	15.6345	0	0.0648043	9376.21
2728	48.9806	0.364663	34.6806	0.483695	1	21.2148	1	0.174323	0
2729	140.379	0.902013	33.8285	0.496982	0	14.9626	2	0.225107	0
2730	10.5462	0.0828024	24.7055	0.412248	1	9.23743	0	0.18615	3076.93
2731	52.3861	0.962899	20.5914	0.247053	1	7.06553	1	0.0893313	217216
2732	224.098	0.353525	28.8302	0.404905	0	23.2713	2	0.17549	0
2733	127.787	0.151537	22.3259	0.411406	1	7.63897	0	0.0885517	131664
2734	185.78	0.227135	34.6949	0.417267	0	24.0515	2	0.178012	0
2735	137.306	0.609164	34.8174	0.483581	0	8.29446	1	0.148069	41317.3
2736	24.2782	0.455722	39.3844	0.534828	1	10.9834	0	0.2363	0
2737	178.157	0.851025	27.9957	0.558763	0	12.6274	2	0.104196	0
2738	235.397	0.589514	35.4875	0.33862	1	9.30317	0	0.102826	0
2739	74.2396	0.57733	24.758	0.44531	0	5.78357	1	0.167646	177390
2740	165.359	0.044379	33.967	0.207787	1	23.7187	0	0.164473	4965.37
2741	87.8836	0.989808	21.0207	0.467875	0	19.1648	1	0.134096	198673
2742	122.293	0.515685	21.904	0.348383	1	9.04687	2	0.205488	183131
2743	120.731	0.974195	21.3871	0.439953	0	11.7441	2	0.0839538	197527
2744	44.5908	0.61352	38.3246	0.36339	1	24.7161	1	0.155516	0
2745	160.991	0.12669	32.5973	0.348246	1	18.622	0	0.228519	0
2746	146.37	0.384648	31.3653	0.247444	0	10.0213	1	0.07012	3982.36
2747	67.7157	0.578769	23.5819	0.276269	0	15.922	2	0.160632	10359.7
2748	166.804	0.632774	27.3354	0.206446	1	11.6659	0	0.245297	989.04
2749	230.105	0.418258	38.8863	0.40464	1	14.7259	0	0.218433	0
2750	34.5648	0.628351	34.8311	0.474541	0	22.4031	1	0.132139	0
2751	18.8235	0.156605	37.554	0.330079	1	15.6943	2	0.0872696	0
2752	109.272	0.193995	22.8102	0.576935	0	7.49167	2	0.0567371	122625
2753	109.243	0.398388	22.5689	0.380183	1	13.5739	1	0.160688	78324.8
2754	66.3768	0.971318	21.4563	0.303585	0	17.5018	0	0.0826304	182844
2755	14.2284	0.833492	22.1105	0.394037	1	15.2864	0	0.13342	570.955
2756	124.994	0.594185	34.8581	0.200315	0	19.3986	2	0.0669879	353.827
2757	238.359	0.0891642	33.5703	0.219308	0	10.1264	1	0.158063	5948.82
2758	3.17852	0.987416	32.4019	0.455018	1	18.9565	0	0.159586	82948.1
2759	13.2913	0.343496	32.1731	0.353212	1	11.9243	2	0.113122	3614.25
2760	78.252	0.83939	26.2992	0.484776	0	5.16117	1	0.151723	179941
2761	243.995	0.891098	24.033	0.353003	0	7.27181	1	0.0665158	176948
2762	13.3096	0.439102	29.8003	0.356279	1	10.3766	2	0.160821	4733.04
2763	21.4378	0.803242	31.0835	0.504687	1	22.2916	0	0.14478	0
2764	6.79171	0.111818	26.6912	0.367161	0	20.8284	1	0.123227	266.486
2765	109.603	0.695459	21.6788	0.569772	1	11.7821	0	0.249977	189.134
2766	91.4296	0.503734	33.6964	0.416212	0	24.7212	2	0.0926188	0
2767	191.48	0.530843	36.3621	0.557873	0	6.48586	2	0.207116	7298.02
2768	245.043	0.414396	20.769	0.589457	1	12.2236	1	0.119237	162790
2769	85.0902	0.825764	32.2713	0.213213	1	5.01957	0	0.24786	131384
2770	30.7455	0.971064	32.9062	0.548541	0	21.3186	2	0.074724	0
2771	181.204	0.659474	24.9544	0.470038	1	17.4184	0	0.172782	29.7072
2772	130.535	0.107445	28.9484	0.232564	0	22.5044	1	0.209407	5002.29
2773	139.13	0.689139	34.9745	0.491255	0	11.0085	1	0.145724	0
2774	60.0153	0.610033	23.0977	0.504345	1	12.2827	2	0.219329	135790
2775	41.9595	0.594023	26.7831	0.488006	1	24.9986	0	0.117173	0
2776	11.4089	0.311698	35.9983	0.546884	0	22.7826	2	0.232767	0
2777	206.315	0.961773	22.4709	0.216227	0	24.9596	1	0.0844172	197050
2778	92.9582	0.653361	31.5646	0.409734	1	24.3202	0	0.175311	0
2779	53.1975	0.0374193	22.8277	0.456847	0	9.76872	0	0.222907	35956.1
2780	33.3045	0.0932044	21.4834	0.578404	1	24.1487	2	0.144891	232.558
2781	106.972	0.203081	34.7732	0.289104	0	20.8225	1	0.0602986	0.288506
2782	124.096	0.121361	27.794	0.442241	1	18.6536	0	0.0749226	0
2783	13.5317	0.480617	34.716	0.232477	1	17.9968	2	0.202373	2738.21
2784	240.123	0.152145	36.1585	0.411641	0	24.234	1	0.128781	0
2785	233.293	0.133773	29.9501	0.480943	1	14.0943	0	0.133378	0
2786	172.714	0.336619	36.4357	0.406222	0	22.2486	1	0.0854737	0
2787	113.616	0.0128707	33.7724	0.340737	1	22.2125	2	0.183983	0
2788	244.576	0.286308	22.4314	0.47471	0	24.742	1	0.207741	139.614
2789	210.623	0.931583	20.942	0.339448	1	16.1224	0	0.151599	242.17
2790	148.565	0.697069	27.7744	0.521971	0	16.1575	2	0.0743341	0
2791	111.147	0.576851	30.7047	0.473201	1	17.811	2	0.149801	0
2792	29.9542	0.24079	31.3922	0.531649	0	5.7571	1	0.0974398	105615
2793	129.369	0.95361	39.8284	0.286239	0	12.5268	0	0.15638	0
2794	127.866	0.488456	24.5264	0.444051	1	15.9974	0	0.168597	33.4101
2795	195.011	0.868663	30.7653	0.469943	0	18.7276	1	0.117281	0
2796	99.658	0.397764	34.0713	0.5056	1	10.6441	2	0.0565756	0
2797	235.475	0.498717	38.5689	0.396735	1	21.3319	2	0.142791	0
2798	171.025	0.162362	37.6	0.457958	0	12.7379	0	0.121215	0
2799	203.216	0.813278	24.846	0.213574	1	9.21743	1	0.187427	129356
2800	127.822	0.170486	36.1954	0.365389	0	5.55835	0	0.0928073	1726.83
2801	167.429	0.119873	31.3396	0.391839	1	12.7994	1	0.163945	0
2802	239.754	0.362646	36.2027	0.479134	0	15.4286	2	0.176656	0
2803	217.512	0.738859	32.4933	0.366039	0	22.7241	1	0.243641	0
2804	3.01901	0.384667	26.8555	0.440558	1	8.16146	2	0.185142	6671.18
2805	159.98	0.131484	20.999	0.379505	0	10.2263	0	0.087678	27630.1
2806	75.6884	0.465248	26.4966	0.413638	1	9.3601	0	0.21341	0
2807	208.488	0.951034	23.3558	0.292435	0	10.1956	1	0.0940027	191532
2808	128.314	0.171527	39.4263	0.33592	1	13.6477	2	0.120269	0
2809	40.8141	0.237492	24.4183	0.314307	0	8.98443	2	0.0777276	15772.7
2810	77.6493	0.185701	22.6474	0.262408	1	5.47642	0	0.145457	182540
2811	187.848	0.663258	28.0073	0.230234	0	13.819	1	0.0763412	5179.95
