Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Maximum capacity exceeding	Percentage of income used for maintenance	Staff Hired	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
980	62.5313	0.364749	20.7338	0.326532	0.41179	4	1	19.7339	0	0.219787	0
981	141.256	0.597434	33.4393	0.442897	0.578353	17	1	7.7156	1	0.0703767	0
982	94.3603	0.350538	24.71	0.3039	0.492425	20	0	19.1308	0	0.165883	0
983	226.411	0.0698828	20.3123	0.227259	0.330317	21	1	22.6753	2	0.165049	0
984	166.08	0.68611	20.157	0.203191	0.301789	10	0	21.2174	1	0.0728585	346.743
985	245.446	0.323376	22.6196	0.108197	0.575257	9	0	22.3816	0	0.217525	580.33
986	190.42	0.278783	23.9205	0.346553	0.223901	0	1	7.88898	1	0.148935	-1.29807e+033
987	184.958	0.812372	34.9232	0.440482	0.413978	25	1	13.7998	2	0.217277	0
988	194.237	0.267049	27.184	0.0769127	0.226317	14	0	20.7723	2	0.107811	2229.28
989	97.8977	0.95842	28.2931	0.369014	0.530174	15	0	11.8281	0	0.247857	0
990	21.4985	0.97224	39.3989	0.211181	0.528726	10	1	18.7591	1	0.0815623	0
991	66.912	0.0612228	28.5516	0.0959196	0.431808	21	1	19.7262	2	0.0704911	425.195
992	104.561	0.72068	36.4191	0.0515995	0.505144	8	0	19.1452	0	0.162658	999.041
993	153.479	0.46444	36.1091	0.305709	0.27718	3	0	23.1482	1	0.120526	1634.81
994	236.488	0.375424	32.4919	0.134904	0.562118	0	1	6.06019	0	0.151851	172509
995	6.72687	0.939855	21.3189	0.472833	0.572992	25	0	16.4675	2	0.229487	0
996	71.9851	0.544975	25.5799	0.175202	0.515904	22	1	8.12258	1	0.197996	0
997	197.06	0.856589	31.2935	0.227729	0.492586	16	0	16.5385	1	0.0653058	0
998	228.886	0.8018	34.5687	0.384299	0.44703	7	1	15.5769	0	0.10702	0
999	125.244	0.567412	24.394	0.473459	0.289356	4	1	24.6349	2	0.12937	-1.29807e+033
1000	244.296	0.329747	28.5009	0.482617	0.576685	2	0	5.15928	2	0.178738	172435
1001	197.915	0.619555	36.7169	0.301086	0.315662	14	1	10.3178	1	0.228533	0
1002	80.0952	0.863264	21.6415	0.40363	0.274856	6	0	18.1014	0	0.168129	0
1003	149.963	0.454554	31.3961	0.219028	0.201425	9	1	17.431	1	0.107634	0
1004	125.477	0.675776	33.6277	0.241282	0.556807	17	0	9.87955	2	0.0929576	0
1005	11.9104	0.558627	39.091	0.347537	0.488333	19	0	11.7962	0	0.236804	0
1006	212.311	0.0607455	33.164	0.042058	0.514277	24	1	16.5672	1	0.124367	1343.49
1007	161.723	0.301855	38.9372	0.0265277	0.507422	1	1	21.4774	2	0.142707	6871.71
1008	107.791	0.573555	34.4104	0.0239574	0.313715	18	0	19.811	0	0.186702	2784.29
1009	229.318	0.907444	39.3548	0.363771	0.401641	12	0	23.5743	0	0.170902	0
1010	182.65	0.461845	32.4023	0.26417	0.380445	13	1	5.04222	2	0.228777	0
1011	110.472	0.654717	31.6202	0.0575493	0.541961	20	1	21.3981	1	0.175082	1043.18
1012	115.057	0.40807	34.132	0.436269	0.35577	11	0	8.49664	0	0.223224	0
1013	4.16353	0.853364	36.9263	0.37318	0.370776	5	1	7.56428	1	0.163011	77886.5
1014	48.4075	0.231207	27.2166	0.35215	0.301305	23	0	15.2708	2	0.0620914	0
1015	19.2287	0.0962923	29.6963	0.0771545	0.205306	12	0	9.22521	0	0.226048	2655.32
1016	199.938	0.61047	23.7184	0.103099	0.226811	20	1	17.4883	2	0.230392	2146.65
1017	171.978	0.0940647	35.6192	0.348644	0.406222	8	0	11.9097	1	0.107698	0
1018	218.835	0.215806	34.6386	0.323791	0.501982	10	1	13.7873	2	0.0971247	0
1019	43.9948	0.381194	34.6606	0.317675	0.430503	0	0	21.5225	1	0.22684	177178
1020	86.2891	0.564465	39.0112	0.172536	0.541071	14	1	15.2108	0	0.113076	0
1021	145.212	0.537718	35.9067	0.390606	0.268537	24	0	12.3724	2	0.0866241	0
1022	97.3394	0.0252886	36.7899	0.395175	0.307974	4	1	8.92634	0	0.235797	71482.1
1023	116.048	0.373929	35.8493	0.422591	0.408532	16	1	20.0008	1	0.179773	0
1024	137.449	0.757755	37.8432	0.0122996	0.273801	1	0	9.64576	2	0.198004	132394
1025	36.971	0.879809	32.6723	0.114987	0.559852	17	0	14.2906	1	0.0982454	59.3357
1026	210.096	0.480586	35.1036	0.171601	0.456046	7	1	22.2007	0	0.193049	0
1027	163.434	0.366214	28.0438	0.00807383	0.426085	9	0	16.9315	1	0.195058	3013.05
1028	192.236	0.469011	24.6471	0.362748	0.246343	11	1	21.1798	0	0.123513	0
1029	82.6044	0.630362	32.099	0.0613118	0.21517	25	1	15.0904	2	0.138199	2516.64
1030	171.511	0.622721	31.8832	0.385708	0.336284	23	0	11.096	0	0.242831	0
1031	187.433	0.502654	37.516	0.370625	0.514197	18	1	21.3006	2	0.15232	0
1032	237.483	0.906233	35.3358	0.309332	0.242284	15	0	14.7811	1	0.189501	0
1033	23.6396	0.983753	23.9893	0.157412	0.348715	19	1	24.2472	2	0.122084	540.306
1034	93.7306	0.970187	36.4753	0.291749	0.227512	21	0	9.87401	1	0.135141	0
1035	208.468	0.258304	23.8329	0.450683	0.578117	13	1	6.54807	0	0.123221	0
1036	59.3854	0.66778	34.9267	0.0554014	0.249066	3	0	20.3731	1	0.0564212	5048.8
1037	52.6336	0.120404	28.0601	0.27124	0.225643	5	1	6.70285	2	0.239542	114926
1038	68.3113	0.698694	24.8148	0.201293	0.539497	22	0	8.58604	0	0.0797459	0
1039	140.171	0.338738	37.3796	0.219824	0.567308	2	0	8.38977	1	0.210671	157183
1040	57.4515	0.813793	21.0549	0.397883	0.59075	6	1	6.72777	0	0.245073	0
1041	173.766	0.101798	27.1795	0.321597	0.338526	3	0	12.6591	2	0.0950996	133959
1042	8.82687	0.510119	37.0494	0.460844	0.362802	1	1	17.2851	1	0.143804	163303
1043	86.9918	0.634851	34.0878	0.0853715	0.314075	19	1	22.2797	0	0.0528134	968.692
1044	22.9756	0.130448	36.7021	0.0121495	0.510621	17	0	8.39173	2	0.234799	2327.61
1045	109.305	0.745548	32.9232	0.399742	0.320553	25	1	19.3241	1	0.0598743	0
1046	53.2743	0.0364574	27.8432	0.314128	0.369725	18	0	6.25719	0	0.19482	0
1047	224.271	0.932588	39.6295	0.384869	0.393371	11	1	18.4332	2	0.229651	0
1048	248.466	0.821926	20.2744	0.385139	0.331407	15	0	13.925	1	0.119662	0
1049	18.3747	0.916694	31.3411	0.499394	0.286076	8	1	14.6623	0	0.201892	0
1050	122.627	0.261014	39.6928	0.252894	0.305917	21	0	15.3513	2	0.112177	0
1051	27.8488	0.0154625	37.895	0.0576624	0.254428	6	1	5.01247	0	0.240665	124408
1052	164.795	0.599065	22.5017	0.342396	0.55162	24	0	19.9243	2	0.247159	0
1053	35.7186	0.0765067	31.4325	0.347152	0.257756	12	1	9.00736	1	0.193619	0
1054	154.198	0.886349	37.0319	0.0402088	0.353912	16	0	12.5933	1	0.165907	1676.98
1055	15.9554	0.25068	33.9351	0.0463982	0.330236	20	0	16.8048	2	0.0550374	2207.68
1056	6.33259	0.542533	22.2727	0.155565	0.490744	7	1	9.86059	0	0.192704	0
1057	71.3662	0.719647	23.5007	0.37819	0.378197	2	0	12.6635	1	0.105829	-1.29807e+033
1058	19.6022	0.105965	31.182	0.0997595	0.212585	23	1	11.2615	2	0.240974	1836.68
1059	146.194	0.239527	21.5396	0.296525	0.229641	4	0	13.3933	0	0.156118	-1.29807e+033
1060	162.049	0.570252	39.2726	0.246629	0.553042	13	1	13.9015	1	0.0697873	0
1061	5.04751	0.714237	38.7345	0.265043	0.563237	22	1	10.3431	0	0.23747	0
1062	162.212	0.914826	34.2681	0.377582	0.393516	9	0	24.5897	2	0.217025	0
1063	178.668	0.201897	25.6955	0.361492	0.359654	5	0	24.5467	0	0.213726	0
1064	97.1805	0.50553	36.7428	0.00333645	0.502788	0	1	8.33017	2	0.0987282	151143
1065	223.531	0.190199	36.9949	0.27038	0.281487	10	0	13.2747	1	0.186915	0
1066	73.5235	0.0922742	35.2722	0.195715	0.275193	14	1	13.9449	1	0.153747	0
1067	219.075	0.243276	26.1049	0.418986	0.32618	5	1	14.9029	0	0.200946	0
1068	120.949	0.863503	31.0323	0.188181	0.56521	23	0	24.7485	2	0.139888	0
1069	192.743	0.620312	21.493	0.205402	0.535274	22	0	16.551	2	0.188586	0
1070	142.435	0.781577	23.2513	0.313491	0.597296	19	1	24.6802	0	0.0682805	0
1071	226.782	0.706251	25.6044	0.102712	0.238362	11	1	10.0643	1	0.159489	1569.26
1072	117.03	0.33319	33.1051	0.25994	0.546884	21	0	6.84507	0	0.231543	0
1073	199.548	0.0987738	24.3039	0.46575	0.554997	6	0	14.7862	1	0.209201	0
1074	180.575	0.697423	38.8118	0.156619	0.247012	25	1	21.2507	2	0.157967	0
1075	181.441	0.384326	27.1555	0.0645708	0.440826	18	1	9.92164	1	0.169804	1168.99
1076	186.938	0.390169	24.7738	0.314496	0.257901	8	0	16.5962	2	0.146497	0
1077	61.8791	0.420067	32.5045	0.164049	0.528199	4	0	20.5795	0	0.144871	0
1078	98.3339	0.010804	29.032	0.032057	0.497971	2	1	7.7196	2	0.0883219	72385.5
1079	26.0708	0.146107	20.3696	0.31731	0.410099	20	0	17.271	0	0.194237	0
1080	173.145	0.371429	28.2148	0.00733305	0.418946	17	1	20.7621	1	0.0869656	3081.84
1081	213.785	0.633563	31.9159	0.385832	0.400001	13	1	7.27181	2	0.220339	0
1082	166.248	0.802497	32.4832	0.323212	0.26685	12	0	24.994	1	0.056272	0
1083	219.551	0.0651037	26.1846	0.383902	0.419433	9	1	8.84783	0	0.142893	0
1084	99.6186	0.307344	24.2047	0.158302	0.456652	15	0	24.1565	0	0.126895	0
1085	135.312	0.55416	21.186	0.0214563	0.208819	3	0	20.1255	2	0.144824	12123
1086	77.942	0.522911	22.8406	0.31852	0.243365	10	1	23.7064	1	0.241194	-1.29807e+033
1087	63.4422	0.376139	24.7603	0.233421	0.200101	14	0	11.2546	2	0.227772	1189.69
1088	200.204	0.915738	38.5086	0.454911	0.527559	24	1	8.1938	1	0.138747	0
1089	152.014	0.359498	28.5711	0.177371	0.267905	1	1	9.01143	0	0.0898082	180530
1090	120.168	0.805882	20.3442	0.437048	0.589046	16	0	17.0404	0	0.196281	0
1091	184.494	0.236842	23.0816	0.122008	0.214212	7	0	15.492	1	0.175949	9993.4
1092	15.6324	0.658924	37.265	0.00764145	0.521713	0	1	12.6791	2	0.0618495	147035
1093	160.545	0.385923	24.1753	0.48258	0.207886	11	1	17.0164	1	0.11005	0
1094	148.395	0.493161	23.021	0.300127	0.36656	22	0	20.0057	2	0.0810881	0
1095	245.212	0.526652	39.9205	0.28069	0.250993	25	1	15.5104	0	0.219259	0
1096	21.2291	0.370657	37.7261	0.217204	0.219745	23	0	18.1802	0	0.105698	0
1097	20.6302	0.426427	21.8649	0.302143	0.398937	3	0	7.95442	2	0.180644	-1.29807e+033
1098	216.554	0.396484	22.0644	0.0486823	0.538124	13	1	12.0431	1	0.240362	1875.53
1099	112.875	0.737982	21.0768	0.00351303	0.349913	10	1	8.60053	1	0.166615	5032.07
1100	7.05603	0.0862826	22.1933	0.239096	0.334804	17	0	14.2593	2	0.100261	203.31
1101	193.14	0.187226	37.5335	0.0305094	0.46097	15	1	23.729	0	0.0677597	1526.06
1102	25.5905	0.446001	27.3507	0.0411749	0.543208	6	0	5.04989	1	0.0960235	92318.2
1103	101.797	0.448883	33.7982	0.133509	0.350778	2	1	11.1568	0	0.101568	4336.98
1104	150.584	0.263521	35.5808	0.100252	0.540673	5	0	24.8823	2	0.249849	109.997
1105	58.3532	0.273738	29.2223	0.0347062	0.550459	14	1	10.867	1	0.0522879	1793.32
1106	188.731	0.44938	36.168	0.483144	0.428192	8	0	10.2913	2	0.098555	0
1107	185.16	0.0913921	31.6263	0.380775	0.402834	12	0	20.5921	0	0.0596104	0
1108	98.205	0.902896	20.4488	0.231119	0.211837	16	1	16.7587	0	0.0542943	3399.01
1109	240.546	0.757221	35.6554	0.12466	0.300825	9	1	10.7905	1	0.245012	0.92661
1110	117.248	0.661075	30.9829	0.156718	0.395887	0	0	18.4123	2	0.108179	162407
1111	191.061	0.0638658	34.6062	0.457654	0.331004	19	1	13.8999	2	0.199024	0
1112	175.946	0.191368	34.3919	0.481683	0.357097	21	0	8.80279	1	0.218091	0
1113	118.631	0.517278	27.4814	0.354823	0.224303	24	1	7.68771	0	0.206033	0
1114	57.9892	0.599941	29.5725	0.270784	0.265186	4	0	14.575	2	0.0606693	4459.02
1115	130.08	0.0908239	38.0028	0.258507	0.300639	1	0	20.4923	0	0.249603	131393
1116	177.239	0.917346	27.949	0.073545	0.504572	7	1	23.2276	1	0.191006	884.799
1117	198.897	0.266109	32.8387	0.029222	0.400699	20	1	24.5633	2	0.169725	1845.73
1118	176.963	0.454274	34.0522	0.36472	0.411931	18	0	9.25444	0	0.237832	0
1119	111.29	0.502286	23.5765	0.207987	0.358055	4	1	17.3694	1	0.233191	139118
1120	220.647	0.744641	36.0791	0.264814	0.380257	3	0	6.89461	1	0.104507	158171
1121	65.5704	0.491007	34.143	0.304483	0.465433	5	1	14.1117	2	0.187261	0
1122	38.6431	0.836517	27.8494	0.191086	0.334587	18	0	7.31491	0	0.112199	0
1123	230.687	0.200427	24.6633	0.422252	0.433853	23	1	13.2934	2	0.221379	0
1124	18.8494	0.320833	35.022	0.486301	0.575003	0	0	21.9129	1	0.229905	169196
1125	213.325	0.299109	29.6918	0.235539	0.381512	17	0	12.9548	0	0.0751157	0
1126	19.7604	0.561028	37.5873	0.0154093	0.252258	21	1	8.36577	1	0.152045	3528.57
1127	160.907	0.811346	25.9667	0.268588	0.301503	13	0	9.49724	0	0.11406	0
1128	207.264	0.481931	25.549	0.323863	0.51114	9	1	21.0078	2	0.247617	0
1129	62.3664	0.720232	25.7346	0.475015	0.416456	11	1	14.5535	1	0.162048	0
1130	135.244	0.207607	36.8401	0.0488842	0.312001	24	0	18.3043	0	0.182122	1709.85
1131	52.8928	0.710494	24.9521	0.491499	0.422793	12	1	14.1569	2	0.1259	0
1132	93.3646	0.0620775	27.8721	0.41576	0.417149	22	0	6.37118	1	0.176757	0
1133	177.646	0.314405	29.9262	0.0650734	0.405959	1	1	23.1258	2	0.0733041	6965.15
1134	38.6646	0.124944	35.3285	0.446853	0.489124	20	0	15.9452	0	0.0695526	0
1135	138.642	0.660605	33.6757	0.408697	0.491808	15	0	10.477	1	0.0695658	0
1136	221.497	0.642654	34.6151	0.460099	0.465634	19	1	12.1318	0	0.113911	0
1137	192.217	0.152809	38.3474	0.381563	0.487873	7	0	11.78	2	0.127569	0
1138	131.508	0.334418	30.1632	0.466117	0.453412	14	1	22.8757	2	0.198462	0
1139	175.092	0.464158	39.4057	0.112106	0.450473	16	1	11.875	0	0.244154	0
1140	39.5801	0.528579	36.2744	0.474952	0.558641	8	0	6.57974	1	0.175266	0
1141	190.18	0.361475	38.1987	0.48488	0.535136	10	0	11.6852	1	0.135188	0
1142	108.198	0.252152	30.212	0.109347	0.388754	2	1	6.63824	0	0.178993	165314
1143	174.944	0.785816	25.9157	0.160228	0.377764	6	0	17.2971	2	0.0843121	0
1144	6.57155	0.48755	32.1825	0.228841	0.464485	25	1	13.1916	2	0.120681	0
1145	249.832	0.936336	23.0654	0.164695	0.396254	19	0	23.6095	1	0.216963	30.7664
1146	186.52	0.832906	21.9052	0.388672	0.515576	0	1	8.27265	0	0.112858	-1.29807e+033
1147	127.432	0.498149	39.0995	0.20605	0.432612	10	1	16.8673	0	0.122763	0
1148	80.7917	0.816921	21.1762	0.357519	0.288283	7	0	7.77375	1	0.215111	-1.29807e+033
1149	92.5597	0.0939721	27.4718	0.210048	0.302494	4	1	17.8676	2	0.225785	6089.81
1150	39.7585	0.419812	36.2007	0.293702	0.501707	6	0	20.1202	0	0.201622	0
1151	226.571	0.0602218	33.909	0.438897	0.506524	21	1	6.40614	2	0.247991	0
1152	189.651	0.157106	26.1061	0.0591901	0.250505	20	0	16.9698	1	0.0690134	2622.26
1153	231.271	0.119472	20.4852	0.317207	0.457612	8	1	23.2564	1	0.139634	0
1154	72.6531	0.170575	27.6459	0.279461	0.571043	1	0	14.8761	2	0.0737248	158092
1155	168.664	0.152312	26.8315	0.114322	0.590961	18	1	20.303	0	0.210946	235.187
1156	145.595	0.799056	24.1345	0.376759	0.276827	24	0	7.32324	1	0.206611	0
1157	147.594	0.978487	33.2453	0.239733	0.543405	16	0	19.1932	2	0.10301	0
1158	78.8775	0.272767	38.2673	0.195922	0.291164	5	1	21.267	0	0.179002	0
1159	208.415	0.534177	33.3183	0.312807	0.500813	2	1	16.6423	1	0.114022	151312
1160	11.4516	0.106135	35.798	0.116543	0.237562	9	0	18.9892	0	0.0864522	858.697
1161	4.04896	0.659217	21.5885	0.0557263	0.428428	11	1	5.85554	2	0.223199	2567.42
1162	26.4677	0.886588	21.3332	0.372603	0.535545	17	0	24.948	2	0.128843	0
1163	31.5594	0.751112	35.7526	0.159515	0.429204	13	1	6.51581	1	0.224467	0
1164	39.8866	0.595327	29.977	0.338475	0.511364	12	0	12.1597	0	0.113091	0
1165	5.1162	0.524952	36.449	0.120513	0.273592	23	1	21.451	2	0.159944	542.969
1166	232.732	0.505436	32.5561	0.219981	0.462447	25	0	15.1764	1	0.194659	0
1167	79.5707	0.238664	39.2793	0.100045	0.413038	22	1	11.3473	0	0.08685	26.1669
1168	49.6482	0.726821	29.4257	0.139766	0.566093	14	0	22.1228	1	0.0510791	0
1169	225.518	0.387212	32.9529	0.0973669	0.415669	15	0	17.0677	2	0.176589	260.623
1170	47.9188	0.154849	20.7787	0.281182	0.354443	3	1	10.0976	0	0.084618	-1.29807e+033
1171	38.7677	0.429767	35.4488	0.0719603	0.337927	22	1	15.4239	1	0.103921	1225.25
1172	143.593	0.766339	20.2705	0.311154	0.526998	17	0	13.6608	0	0.208606	0
1173	63.9396	0.903133	20.6699	0.000242059	0.55503	9	0	23.8935	2	0.197806	4292.96
1174	109.463	0.318546	27.8269	0.197093	0.31096	14	1	8.30228	1	0.0960104	0
1175	176.7	0.412236	20.9813	0.326008	0.561051	0	0	11.7074	2	0.083662	-1.29807e+033
1176	5.4895	0.523037	28.2095	0.282259	0.288395	11	1	11.3487	0	0.0752098	0
1177	114.069	0.520062	29.9597	0.457357	0.400739	19	1	23.7838	0	0.0576291	0
1178	24.3866	0.0720125	29.2824	0.497323	0.551811	21	0	12.4128	1	0.0591753	0
1179	119.884	0.433047	34.7078	0.187884	0.245607	5	0	6.20939	2	0.132953	3753.37
1180	123.119	0.325125	32.3231	0.0606369	0.450532	15	1	9.8457	0	0.169847	921.793
1181	29.1538	0.48132	23.6151	0.434878	0.307729	20	0	12.2131	1	0.190713	0
1182	194.537	0.541336	39.9091	0.0908787	0.293037	3	1	18.5134	2	0.130759	4164.42
1183	144.088	0.40833	34.7319	0.480293	0.259257	18	0	16.3901	2	0.206293	0
1184	211.039	0.218855	24.5362	0.167189	0.21796	25	1	10.0048	1	0.168534	904.108
1185	155.469	0.0883072	21.0472	0.302849	0.312123	13	0	22.7494	0	0.0913366	0
1186	62.7744	0.640677	30.8858	0.324579	0.531812	16	1	14.3596	0	0.123144	0
1187	245.862	0.792791	20.7935	0.450389	0.383662	8	0	16.2444	1	0.210017	0
1188	96.3004	0.247775	27.9077	0.407009	0.368199	1	1	6.5262	2	0.245344	204787
1189	70.9576	0.0280154	34.4573	0.340713	0.219855	7	0	14.0482	2	0.0654378	0
1190	103.532	0.180736	34.1871	0.401707	0.516267	12	1	15.175	0	0.135179	0
1191	6.93909	0.795096	38.4788	0.211084	0.594965	2	0	15.6862	1	0.144349	128330
1192	162.292	0.848066	25.4647	0.43775	0.279212	23	1	17.8308	2	0.0602078	0
1193	248.605	0.288017	37.8443	0.385644	0.364883	10	0	15.4093	0	0.162524	0
1194	29.4903	0.40331	34.317	0.176213	0.295894	24	1	19.5494	1	0.162371	0
1195	171.574	0.913851	22.3335	0.036345	0.232992	4	1	14.146	2	0.063184	177173
1196	9.65022	0.971114	27.2692	0.401291	0.317233	6	0	15.132	0	0.136922	90765.7
1197	145.261	0.501053	35.2034	0.0252089	0.226172	15	1	16.9284	1	0.170509	3191.45
1198	216.015	0.812317	38.0122	0.0285478	0.53102	1	0	19.2768	1	0.197098	150123
1199	39.2666	0.562397	31.2367	0.281421	0.309203	25	1	13.4807	0	0.0941653	0
1200	90.6143	0.489676	24.5742	0.407474	0.416582	5	0	14.2603	2	0.162265	-1.29807e+033
1201	222.089	0.230499	21.1283	0.0138096	0.498369	4	0	6.52054	2	0.0936948	116777
1202	233.867	0.418104	32.215	0.0810199	0.343583	13	1	15.8122	0	0.138016	590.207
1203	90.1078	0.77061	30.1703	0.379297	0.212061	3	1	14.3873	1	0.0995791	44685.2
1204	122.766	0.252705	22.201	0.36101	0.414689	2	0	6.49709	2	0.133833	-1.29807e+033
1205	234.697	0.44969	24.4837	0.486969	0.463678	7	0	15.1003	0	0.170069	0
1206	205.69	0.136435	33.3963	0.337906	0.333312	14	1	9.88565	1	0.0811488	0
1207	58.1199	0.166248	23.5663	0.0783281	0.445497	20	1	6.09061	1	0.185245	1179.18
1208	54.6283	0.987687	27.5926	0.49165	0.311164	17	0	19.1037	2	0.24941	0
1209	126.913	0.481542	35.8439	0.226626	0.493325	8	0	13.8155	0	0.113399	0
1210	133.29	0.606436	30.9498	0.229937	0.238415	16	1	7.16247	2	0.191653	0
1211	13.9844	0.844878	26.3342	0.319114	0.320647	18	0	23.4264	1	0.152483	0
1212	55.5477	0.107041	25.5665	0.224221	0.249551	12	1	24.4291	0	0.23304	322.732
1213	78.2566	0.278944	22.7189	0.175188	0.565542	22	0	15.2406	2	0.0505406	0
1214	151.176	0.240766	34.6012	0.0264262	0.48572	11	1	7.97619	1	0.244664	1771.34
1215	147.988	0.59338	21.2922	0.174307	0.236227	0	0	5.76987	0	0.114569	217639
1216	189.758	0.60008	24.7713	0.11115	0.248223	10	1	7.15465	2	0.210328	1536.07
1217	142.186	0.493044	21.7098	0.438291	0.33213	9	0	24.9572	1	0.0822385	0
1218	108.017	0.323994	35.3091	0.306557	0.593227	6	1	13.8817	0	0.132296	0
1219	93.754	0.913303	24.8586	0.107627	0.516682	23	0	16.0249	0	0.0892449	507.152
1220	226.869	0.637856	34.2302	0.0525901	0.255256	24	1	11.106	2	0.14151	1914.95
1221	108.316	0.695532	24.3877	0.303202	0.460838	21	1	24.0391	1	0.238781	0
1222	13.2154	0.669258	27.567	0.373909	0.365432	19	0	8.3384	0	0.243366	0
1223	10.7586	0.589552	31.0165	0.25049	0.576432	7	0	7.43017	1	0.140326	0
1224	100.645	0.35964	38.366	0.258021	0.323668	22	1	10.9573	2	0.227017	0
1225	190.257	0.522439	32.6935	0.245991	0.39933	5	0	17.6643	2	0.160812	0
1226	57.3464	0.601651	22.6557	0.296577	0.51904	4	1	23.8117	1	0.140923	-1.29807e+033
1227	240.263	0.121191	33.335	0.349525	0.295797	6	0	13.0003	0	0.132426	0
1228	157.863	0.389236	27.2348	0.360977	0.252884	24	1	17.9185	1	0.159352	0
1229	29.9376	0.165841	32.6165	0.457	0.255744	17	1	8.23015	0	0.238706	0
1230	179.236	0.283557	31.4301	0.258851	0.512087	23	0	22.4058	2	0.244096	0
1231	55.916	0.288049	32.4389	0.417055	0.497729	1	1	11.2724	0	0.0711142	168666
1232	133.86	0.588389	30.4084	0.364057	0.571163	13	0	10.5316	2	0.145455	0
1233	101.955	0.109029	37.3861	0.35409	0.563873	16	1	7.32815	1	0.155562	0
1234	48.1623	0.539027	23.9741	0.192935	0.45278	21	0	7.75542	0	0.10708	0
1235	29.3345	0.225288	32.7601	0.184715	0.363262	15	1	6.50656	2	0.113509	0
1236	156.372	0.833327	28.9556	0.0105355	0.33912	8	0	20.3766	1	0.123297	3462.52
1237	175.106	0.67707	28.9236	0.0794683	0.286243	9	0	17.5269	0	0.118252	1449.06
1238	142.958	0.88174	27.831	0.0171531	0.37379	3	1	24.5266	1	0.118153	10061
1239	120.782	0.558326	39.3229	0.393499	0.469814	0	1	12.0409	2	0.2371	148534
1240	85.9297	0.942686	35.566	0.209257	0.275998	11	0	11.8886	1	0.171937	0
1241	92.4503	0.79915	25.8682	0.448141	0.52013	19	1	9.31419	2	0.208551	0
1242	45.9338	0.447489	25.6333	0.174035	0.533106	25	0	13.2323	0	0.209648	0
1243	68.0357	0.387659	32.5127	0.429767	0.570825	2	0	17.9451	0	0.156605	0
1244	39.5472	0.503717	21.1233	0.0239097	0.373954	20	1	14.5552	2	0.246138	3979.04
1245	242.349	0.442344	34.3268	0.481386	0.285091	18	1	6.04961	1	0.132935	0
1246	22.1647	0.617301	23.2099	0.370855	0.461646	12	0	23.5393	2	0.101514	0
1247	32.8073	0.753596	35.8686	0.218399	0.231469	10	1	15.8555	0	0.191043	0
1248	13.8408	0.276337	28.1486	0.427507	0.357327	14	0	9.47552	1	0.188212	0
1249	221.542	0.232616	39.6355	0.438128	0.454597	2	0	13.8347	2	0.228602	753.64
1250	48.499	0.984234	34.9634	0.254822	0.210971	17	1	22.4274	0	0.205459	0
1251	109.782	0.170393	23.237	0.142352	0.277756	6	0	9.10993	1	0.11695	52323.8
1252	198.793	0.59127	39.6758	0.409108	0.573552	4	1	20.323	0	0.110517	0
1253	232.53	0.504072	33.6659	0.31736	0.443215	19	1	7.71092	2	0.202618	0
1254	32.8406	0.408997	38.6784	0.331095	0.250131	23	0	14.674	1	0.194983	0
1255	25.5689	0.494538	24.1413	0.343566	0.524472	22	0	22.0306	2	0.127944	0
1256	216.705	0.451332	27.0703	0.11518	0.383746	5	1	13.8452	1	0.0557997	217.924
1257	156.541	0.0368821	33.8357	0.365113	0.382542	8	1	6.05691	0	0.167712	0
1258	243.905	0.25926	29.4195	0.298435	0.408064	1	0	17.7825	0	0.18491	166080
1259	35.865	0.397913	32.8551	0.344241	0.360779	10	0	11.8469	2	0.125285	0
1260	21.4162	0.22322	23.7891	0.283008	0.385679	24	1	12.2725	1	0.19664	0
1261	32.3383	0.0936315	20.0065	0.185775	0.495834	3	0	21.8263	2	0.23961	-1.29807e+033
1262	174.858	0.272223	28.391	0.114597	0.269211	25	1	23.412	1	0.0841758	842.632
1263	54.4516	0.0147165	24.4768	0.162575	0.509078	15	1	17.4096	0	0.186204	2186.65
1264	33.0633	0.149765	30.5472	0.444648	0.413229	7	0	24.6124	1	0.207257	0
1265	18.7329	0.860539	32.1632	0.0288974	0.294673	21	1	13.2862	0	0.0637992	3160.93
1266	46.8824	0.79144	21.5814	0.264582	0.269588	13	0	12.5595	2	0.230292	1062.32
1267	94.2332	0.681241	38.0638	0.49943	0.534127	12	0	22.2895	1	0.209955	0
1268	246.917	0.579735	26.1659	0.0104407	0.395591	16	1	6.15513	2	0.243421	2859.85
1269	35.0622	0.290393	27.636	0.371743	0.234318	9	0	13.8646	0	0.232379	0
1270	175.18	0.168079	26.4147	0.0624	0.368034	14	1	12.4781	0	0.09331	1458.35
1271	233.791	0.925794	33.1715	0.175263	0.42501	20	1	23.0385	2	0.191639	0
1272	54.8354	0.131976	29.6073	0.250769	0.277516	0	0	8.55412	1	0.226666	196496
1273	119.662	0.222515	25.3473	0.212215	0.340606	11	1	15.2782	1	0.229254	0
1274	202.008	0.610132	24.456	0.392882	0.481724	18	0	23.1626	2	0.0796298	0
1275	168.089	0.167055	34.4086	0.491093	0.39355	9	1	9.74874	0	0.114317	0
